"","Gargett.ï..Year","Gargett.Season","Gargett.Scenario","Gargett.Site","Gargett.Habitat","Mirani.ï..Year","Mirani.Season","Mirani.Scenario","Mirani.Site","Mirani.Habitat","Sarichs.ï..Year","Sarichs.Season","Sarichs.Scenario","Sarichs.Site","Sarichs.Habitat","Whitefd.ï..Year","Whitefd.Season","Whitefd.Scenario","Whitefd.Site","Whitefd.Habitat"
"271",1899,"Jul-Sep","PD","Gargett",8.7,1899,"Jul-Sep","PD","Mirani",8.06,1899,"Jul-Sep","PD","Sarichs",1.67,1899,"Jul-Sep","PD","Whitefd",2.02
"272",1900,"Jul-Sep","PD","Gargett",6.91,1900,"Jul-Sep","PD","Mirani",3.1,1900,"Jul-Sep","PD","Sarichs",0,1900,"Jul-Sep","PD","Whitefd",0
"273",1901,"Jul-Sep","PD","Gargett",7.57,1901,"Jul-Sep","PD","Mirani",3.52,1901,"Jul-Sep","PD","Sarichs",0.14,1901,"Jul-Sep","PD","Whitefd",0.88
"274",1902,"Jul-Sep","PD","Gargett",0.24,1902,"Jul-Sep","PD","Mirani",0,1902,"Jul-Sep","PD","Sarichs",0,1902,"Jul-Sep","PD","Whitefd",0
"275",1903,"Jul-Sep","PD","Gargett",9.51,1903,"Jul-Sep","PD","Mirani",7.8,1903,"Jul-Sep","PD","Sarichs",2.22,1903,"Jul-Sep","PD","Whitefd",2.69
"276",1904,"Jul-Sep","PD","Gargett",6.56,1904,"Jul-Sep","PD","Mirani",2.31,1904,"Jul-Sep","PD","Sarichs",0.08,1904,"Jul-Sep","PD","Whitefd",1.09
"277",1905,"Jul-Sep","PD","Gargett",6.49,1905,"Jul-Sep","PD","Mirani",2.5,1905,"Jul-Sep","PD","Sarichs",0.26,1905,"Jul-Sep","PD","Whitefd",1.08
"278",1906,"Jul-Sep","PD","Gargett",9.82,1906,"Jul-Sep","PD","Mirani",12.83,1906,"Jul-Sep","PD","Sarichs",7.19,1906,"Jul-Sep","PD","Whitefd",6.06
"279",1907,"Jul-Sep","PD","Gargett",9.36,1907,"Jul-Sep","PD","Mirani",7.67,1907,"Jul-Sep","PD","Sarichs",1.65,1907,"Jul-Sep","PD","Whitefd",2.73
"280",1908,"Jul-Sep","PD","Gargett",8.96,1908,"Jul-Sep","PD","Mirani",8.78,1908,"Jul-Sep","PD","Sarichs",4.93,1908,"Jul-Sep","PD","Whitefd",3.85
"281",1909,"Jul-Sep","PD","Gargett",6.56,1909,"Jul-Sep","PD","Mirani",2.13,1909,"Jul-Sep","PD","Sarichs",0.08,1909,"Jul-Sep","PD","Whitefd",0.76
"282",1910,"Jul-Sep","PD","Gargett",9.27,1910,"Jul-Sep","PD","Mirani",10.37,1910,"Jul-Sep","PD","Sarichs",6.59,1910,"Jul-Sep","PD","Whitefd",5.82
"283",1911,"Jul-Sep","PD","Gargett",8.72,1911,"Jul-Sep","PD","Mirani",7.53,1911,"Jul-Sep","PD","Sarichs",3.46,1911,"Jul-Sep","PD","Whitefd",3.75
"284",1912,"Jul-Sep","PD","Gargett",14.78,1912,"Jul-Sep","PD","Mirani",14.31,1912,"Jul-Sep","PD","Sarichs",5.51,1912,"Jul-Sep","PD","Whitefd",4.42
"285",1913,"Jul-Sep","PD","Gargett",11.48,1913,"Jul-Sep","PD","Mirani",13.92,1913,"Jul-Sep","PD","Sarichs",7.1,1913,"Jul-Sep","PD","Whitefd",5.57
"286",1914,"Jul-Sep","PD","Gargett",11.38,1914,"Jul-Sep","PD","Mirani",13.71,1914,"Jul-Sep","PD","Sarichs",5.41,1914,"Jul-Sep","PD","Whitefd",4.55
"287",1915,"Jul-Sep","PD","Gargett",0,1915,"Jul-Sep","PD","Mirani",0,1915,"Jul-Sep","PD","Sarichs",0,1915,"Jul-Sep","PD","Whitefd",0
"288",1916,"Jul-Sep","PD","Gargett",8.51,1916,"Jul-Sep","PD","Mirani",7.11,1916,"Jul-Sep","PD","Sarichs",1.08,1916,"Jul-Sep","PD","Whitefd",1.54
"289",1917,"Jul-Sep","PD","Gargett",10.27,1917,"Jul-Sep","PD","Mirani",11.82,1917,"Jul-Sep","PD","Sarichs",6.1,1917,"Jul-Sep","PD","Whitefd",4.86
"290",1918,"Jul-Sep","PD","Gargett",8.82,1918,"Jul-Sep","PD","Mirani",8.04,1918,"Jul-Sep","PD","Sarichs",4.12,1918,"Jul-Sep","PD","Whitefd",3.88
"291",1919,"Jul-Sep","PD","Gargett",11.11,1919,"Jul-Sep","PD","Mirani",11.24,1919,"Jul-Sep","PD","Sarichs",4.3,1919,"Jul-Sep","PD","Whitefd",4.31
"292",1920,"Jul-Sep","PD","Gargett",13.19,1920,"Jul-Sep","PD","Mirani",11.77,1920,"Jul-Sep","PD","Sarichs",3.75,1920,"Jul-Sep","PD","Whitefd",3.39
"293",1921,"Jul-Sep","PD","Gargett",13.97,1921,"Jul-Sep","PD","Mirani",10.81,1921,"Jul-Sep","PD","Sarichs",6.33,1921,"Jul-Sep","PD","Whitefd",5.23
"294",1922,"Jul-Sep","PD","Gargett",8.88,1922,"Jul-Sep","PD","Mirani",7.65,1922,"Jul-Sep","PD","Sarichs",2.06,1922,"Jul-Sep","PD","Whitefd",1.79
"295",1923,"Jul-Sep","PD","Gargett",7.82,1923,"Jul-Sep","PD","Mirani",4.03,1923,"Jul-Sep","PD","Sarichs",0.56,1923,"Jul-Sep","PD","Whitefd",2.02
"296",1924,"Jul-Sep","PD","Gargett",11.36,1924,"Jul-Sep","PD","Mirani",13.82,1924,"Jul-Sep","PD","Sarichs",3.41,1924,"Jul-Sep","PD","Whitefd",3.12
"297",1925,"Jul-Sep","PD","Gargett",10.21,1925,"Jul-Sep","PD","Mirani",11.08,1925,"Jul-Sep","PD","Sarichs",1.6,1925,"Jul-Sep","PD","Whitefd",2.22
"298",1926,"Jul-Sep","PD","Gargett",5.94,1926,"Jul-Sep","PD","Mirani",2.61,1926,"Jul-Sep","PD","Sarichs",0,1926,"Jul-Sep","PD","Whitefd",0.64
"299",1927,"Jul-Sep","PD","Gargett",9.84,1927,"Jul-Sep","PD","Mirani",7.99,1927,"Jul-Sep","PD","Sarichs",0.57,1927,"Jul-Sep","PD","Whitefd",1.36
"300",1928,"Jul-Sep","PD","Gargett",9.32,1928,"Jul-Sep","PD","Mirani",10.68,1928,"Jul-Sep","PD","Sarichs",4.34,1928,"Jul-Sep","PD","Whitefd",4.01
"301",1929,"Jul-Sep","PD","Gargett",9.64,1929,"Jul-Sep","PD","Mirani",9.96,1929,"Jul-Sep","PD","Sarichs",4.28,1929,"Jul-Sep","PD","Whitefd",3.96
"302",1930,"Jul-Sep","PD","Gargett",14.12,1930,"Jul-Sep","PD","Mirani",15.75,1930,"Jul-Sep","PD","Sarichs",7.85,1930,"Jul-Sep","PD","Whitefd",6.94
"303",1931,"Jul-Sep","PD","Gargett",8.05,1931,"Jul-Sep","PD","Mirani",4.49,1931,"Jul-Sep","PD","Sarichs",0,1931,"Jul-Sep","PD","Whitefd",1.09
"304",1932,"Jul-Sep","PD","Gargett",8.83,1932,"Jul-Sep","PD","Mirani",5.9,1932,"Jul-Sep","PD","Sarichs",0.02,1932,"Jul-Sep","PD","Whitefd",1.06
"305",1933,"Jul-Sep","PD","Gargett",10.59,1933,"Jul-Sep","PD","Mirani",10.47,1933,"Jul-Sep","PD","Sarichs",5.18,1933,"Jul-Sep","PD","Whitefd",3.89
"306",1934,"Jul-Sep","PD","Gargett",10.64,1934,"Jul-Sep","PD","Mirani",13.19,1934,"Jul-Sep","PD","Sarichs",0.34,1934,"Jul-Sep","PD","Whitefd",0.7
"307",1935,"Jul-Sep","PD","Gargett",6.75,1935,"Jul-Sep","PD","Mirani",2.04,1935,"Jul-Sep","PD","Sarichs",0,1935,"Jul-Sep","PD","Whitefd",0
"308",1936,"Jul-Sep","PD","Gargett",15.46,1936,"Jul-Sep","PD","Mirani",15.9,1936,"Jul-Sep","PD","Sarichs",9.4,1936,"Jul-Sep","PD","Whitefd",7.94
"309",1937,"Jul-Sep","PD","Gargett",9.56,1937,"Jul-Sep","PD","Mirani",9.52,1937,"Jul-Sep","PD","Sarichs",0.65,1937,"Jul-Sep","PD","Whitefd",2.09
"310",1938,"Jul-Sep","PD","Gargett",9.93,1938,"Jul-Sep","PD","Mirani",9.26,1938,"Jul-Sep","PD","Sarichs",2.58,1938,"Jul-Sep","PD","Whitefd",3.1
"311",1939,"Jul-Sep","PD","Gargett",10.2,1939,"Jul-Sep","PD","Mirani",10.84,1939,"Jul-Sep","PD","Sarichs",1.75,1939,"Jul-Sep","PD","Whitefd",2.86
"312",1940,"Jul-Sep","PD","Gargett",9.54,1940,"Jul-Sep","PD","Mirani",12.24,1940,"Jul-Sep","PD","Sarichs",8.92,1940,"Jul-Sep","PD","Whitefd",7.11
"313",1941,"Jul-Sep","PD","Gargett",12.66,1941,"Jul-Sep","PD","Mirani",15.66,1941,"Jul-Sep","PD","Sarichs",9.85,1941,"Jul-Sep","PD","Whitefd",6.81
"314",1942,"Jul-Sep","PD","Gargett",19.32,1942,"Jul-Sep","PD","Mirani",15.5,1942,"Jul-Sep","PD","Sarichs",7.56,1942,"Jul-Sep","PD","Whitefd",5.37
"315",1943,"Jul-Sep","PD","Gargett",9.64,1943,"Jul-Sep","PD","Mirani",12.46,1943,"Jul-Sep","PD","Sarichs",8,1943,"Jul-Sep","PD","Whitefd",8.18
"316",1944,"Jul-Sep","PD","Gargett",10.06,1944,"Jul-Sep","PD","Mirani",12.16,1944,"Jul-Sep","PD","Sarichs",1.56,1944,"Jul-Sep","PD","Whitefd",2.33
"317",1945,"Jul-Sep","PD","Gargett",11.04,1945,"Jul-Sep","PD","Mirani",11.71,1945,"Jul-Sep","PD","Sarichs",0.56,1945,"Jul-Sep","PD","Whitefd",1.76
"318",1946,"Jul-Sep","PD","Gargett",7.96,1946,"Jul-Sep","PD","Mirani",5.24,1946,"Jul-Sep","PD","Sarichs",1.62,1946,"Jul-Sep","PD","Whitefd",3.1
"319",1947,"Jul-Sep","PD","Gargett",9.43,1947,"Jul-Sep","PD","Mirani",8.66,1947,"Jul-Sep","PD","Sarichs",2.02,1947,"Jul-Sep","PD","Whitefd",2.79
"320",1948,"Jul-Sep","PD","Gargett",8.58,1948,"Jul-Sep","PD","Mirani",5.93,1948,"Jul-Sep","PD","Sarichs",0,1948,"Jul-Sep","PD","Whitefd",0.54
"321",1949,"Jul-Sep","PD","Gargett",9.14,1949,"Jul-Sep","PD","Mirani",7.64,1949,"Jul-Sep","PD","Sarichs",1.21,1949,"Jul-Sep","PD","Whitefd",2.53
"322",1950,"Jul-Sep","PD","Gargett",27.41,1950,"Jul-Sep","PD","Mirani",26.62,1950,"Jul-Sep","PD","Sarichs",24.48,1950,"Jul-Sep","PD","Whitefd",11.05
"323",1951,"Jul-Sep","PD","Gargett",6.56,1951,"Jul-Sep","PD","Mirani",5.31,1951,"Jul-Sep","PD","Sarichs",2.47,1951,"Jul-Sep","PD","Whitefd",2.34
"324",1952,"Jul-Sep","PD","Gargett",9.13,1952,"Jul-Sep","PD","Mirani",7.27,1952,"Jul-Sep","PD","Sarichs",1.64,1952,"Jul-Sep","PD","Whitefd",2.64
"325",1953,"Jul-Sep","PD","Gargett",7.51,1953,"Jul-Sep","PD","Mirani",3.34,1953,"Jul-Sep","PD","Sarichs",0.34,1953,"Jul-Sep","PD","Whitefd",1.61
"326",1954,"Jul-Sep","PD","Gargett",9.79,1954,"Jul-Sep","PD","Mirani",11.8,1954,"Jul-Sep","PD","Sarichs",7.05,1954,"Jul-Sep","PD","Whitefd",5.73
"327",1955,"Jul-Sep","PD","Gargett",12.18,1955,"Jul-Sep","PD","Mirani",16.46,1955,"Jul-Sep","PD","Sarichs",12.78,1955,"Jul-Sep","PD","Whitefd",9.89
"328",1956,"Jul-Sep","PD","Gargett",11.1,1956,"Jul-Sep","PD","Mirani",15.41,1956,"Jul-Sep","PD","Sarichs",14.87,1956,"Jul-Sep","PD","Whitefd",9.38
"329",1957,"Jul-Sep","PD","Gargett",8.65,1957,"Jul-Sep","PD","Mirani",6.65,1957,"Jul-Sep","PD","Sarichs",1.02,1957,"Jul-Sep","PD","Whitefd",1.58
"330",1958,"Jul-Sep","PD","Gargett",10.89,1958,"Jul-Sep","PD","Mirani",14.01,1958,"Jul-Sep","PD","Sarichs",8.47,1958,"Jul-Sep","PD","Whitefd",7.58
"331",1959,"Jul-Sep","PD","Gargett",9.27,1959,"Jul-Sep","PD","Mirani",6.88,1959,"Jul-Sep","PD","Sarichs",0.43,1959,"Jul-Sep","PD","Whitefd",2.09
"332",1960,"Jul-Sep","PD","Gargett",7.44,1960,"Jul-Sep","PD","Mirani",5,1960,"Jul-Sep","PD","Sarichs",1.78,1960,"Jul-Sep","PD","Whitefd",2.78
"333",1961,"Jul-Sep","PD","Gargett",8.89,1961,"Jul-Sep","PD","Mirani",5.88,1961,"Jul-Sep","PD","Sarichs",0.3,1961,"Jul-Sep","PD","Whitefd",1.72
"334",1962,"Jul-Sep","PD","Gargett",7.78,1962,"Jul-Sep","PD","Mirani",4.1,1962,"Jul-Sep","PD","Sarichs",0.36,1962,"Jul-Sep","PD","Whitefd",1.72
"335",1963,"Jul-Sep","PD","Gargett",10.49,1963,"Jul-Sep","PD","Mirani",13.49,1963,"Jul-Sep","PD","Sarichs",9.27,1963,"Jul-Sep","PD","Whitefd",7.41
"336",1964,"Jul-Sep","PD","Gargett",9.77,1964,"Jul-Sep","PD","Mirani",9.07,1964,"Jul-Sep","PD","Sarichs",2.13,1964,"Jul-Sep","PD","Whitefd",2.61
"337",1965,"Jul-Sep","PD","Gargett",7.14,1965,"Jul-Sep","PD","Mirani",2.51,1965,"Jul-Sep","PD","Sarichs",0,1965,"Jul-Sep","PD","Whitefd",0.02
"338",1966,"Jul-Sep","PD","Gargett",6.14,1966,"Jul-Sep","PD","Mirani",3.12,1966,"Jul-Sep","PD","Sarichs",0,1966,"Jul-Sep","PD","Whitefd",0.07
"339",1967,"Jul-Sep","PD","Gargett",13.79,1967,"Jul-Sep","PD","Mirani",13.18,1967,"Jul-Sep","PD","Sarichs",1.37,1967,"Jul-Sep","PD","Whitefd",2.86
"340",1968,"Jul-Sep","PD","Gargett",8.45,1968,"Jul-Sep","PD","Mirani",7.27,1968,"Jul-Sep","PD","Sarichs",1.96,1968,"Jul-Sep","PD","Whitefd",3.08
"341",1969,"Jul-Sep","PD","Gargett",9.59,1969,"Jul-Sep","PD","Mirani",8.05,1969,"Jul-Sep","PD","Sarichs",0.22,1969,"Jul-Sep","PD","Whitefd",1.9
"342",1970,"Jul-Sep","PD","Gargett",8.86,1970,"Jul-Sep","PD","Mirani",5.19,1970,"Jul-Sep","PD","Sarichs",0.24,1970,"Jul-Sep","PD","Whitefd",2.22
"343",1971,"Jul-Sep","PD","Gargett",8.83,1971,"Jul-Sep","PD","Mirani",8.65,1971,"Jul-Sep","PD","Sarichs",1.91,1971,"Jul-Sep","PD","Whitefd",2.76
"344",1972,"Jul-Sep","PD","Gargett",10,1972,"Jul-Sep","PD","Mirani",8.9,1972,"Jul-Sep","PD","Sarichs",2.03,1972,"Jul-Sep","PD","Whitefd",3.39
"345",1973,"Jul-Sep","PD","Gargett",10.27,1973,"Jul-Sep","PD","Mirani",8.92,1973,"Jul-Sep","PD","Sarichs",0.23,1973,"Jul-Sep","PD","Whitefd",2.52
"346",1974,"Jul-Sep","PD","Gargett",10.54,1974,"Jul-Sep","PD","Mirani",14.02,1974,"Jul-Sep","PD","Sarichs",9.15,1974,"Jul-Sep","PD","Whitefd",4.82
"347",1975,"Jul-Sep","PD","Gargett",10.15,1975,"Jul-Sep","PD","Mirani",11.79,1975,"Jul-Sep","PD","Sarichs",2.26,1975,"Jul-Sep","PD","Whitefd",1.71
"348",1976,"Jul-Sep","PD","Gargett",9.65,1976,"Jul-Sep","PD","Mirani",11.89,1976,"Jul-Sep","PD","Sarichs",10.24,1976,"Jul-Sep","PD","Whitefd",4.92
"349",1977,"Jul-Sep","PD","Gargett",10.4,1977,"Jul-Sep","PD","Mirani",15.22,1977,"Jul-Sep","PD","Sarichs",10.4,1977,"Jul-Sep","PD","Whitefd",6.1
"350",1978,"Jul-Sep","PD","Gargett",8.56,1978,"Jul-Sep","PD","Mirani",10.17,1978,"Jul-Sep","PD","Sarichs",1.56,1978,"Jul-Sep","PD","Whitefd",0.11
"351",1979,"Jul-Sep","PD","Gargett",9.43,1979,"Jul-Sep","PD","Mirani",11.71,1979,"Jul-Sep","PD","Sarichs",8.02,1979,"Jul-Sep","PD","Whitefd",4.01
"352",1980,"Jul-Sep","PD","Gargett",10.08,1980,"Jul-Sep","PD","Mirani",11.87,1980,"Jul-Sep","PD","Sarichs",1.9,1980,"Jul-Sep","PD","Whitefd",1.21
"353",1981,"Jul-Sep","PD","Gargett",9.48,1981,"Jul-Sep","PD","Mirani",11.74,1981,"Jul-Sep","PD","Sarichs",3.8,1981,"Jul-Sep","PD","Whitefd",2.68
"354",1982,"Jul-Sep","PD","Gargett",7.6,1982,"Jul-Sep","PD","Mirani",3.37,1982,"Jul-Sep","PD","Sarichs",0,1982,"Jul-Sep","PD","Whitefd",0
"355",1983,"Jul-Sep","PD","Gargett",10.21,1983,"Jul-Sep","PD","Mirani",10.49,1983,"Jul-Sep","PD","Sarichs",0.71,1983,"Jul-Sep","PD","Whitefd",0.11
"356",1984,"Jul-Sep","PD","Gargett",7.5,1984,"Jul-Sep","PD","Mirani",5.31,1984,"Jul-Sep","PD","Sarichs",0.28,1984,"Jul-Sep","PD","Whitefd",0.02
"357",1985,"Jul-Sep","PD","Gargett",10.42,1985,"Jul-Sep","PD","Mirani",12.72,1985,"Jul-Sep","PD","Sarichs",3.48,1985,"Jul-Sep","PD","Whitefd",2.72
"358",1986,"Jul-Sep","PD","Gargett",9.8,1986,"Jul-Sep","PD","Mirani",9.21,1986,"Jul-Sep","PD","Sarichs",0,1986,"Jul-Sep","PD","Whitefd",1.16
"359",1987,"Jul-Sep","PD","Gargett",9.98,1987,"Jul-Sep","PD","Mirani",9.55,1987,"Jul-Sep","PD","Sarichs",0.52,1987,"Jul-Sep","PD","Whitefd",0.79
"360",1988,"Jul-Sep","PD","Gargett",11.34,1988,"Jul-Sep","PD","Mirani",12.18,1988,"Jul-Sep","PD","Sarichs",6.12,1988,"Jul-Sep","PD","Whitefd",4.02
"361",1989,"Jul-Sep","PD","Gargett",12.47,1989,"Jul-Sep","PD","Mirani",17.76,1989,"Jul-Sep","PD","Sarichs",24.36,1989,"Jul-Sep","PD","Whitefd",9.41
"362",1990,"Jul-Sep","PD","Gargett",11.04,1990,"Jul-Sep","PD","Mirani",15.84,1990,"Jul-Sep","PD","Sarichs",16.05,1990,"Jul-Sep","PD","Whitefd",10.48
"363",1991,"Jul-Sep","PD","Gargett",8.19,1991,"Jul-Sep","PD","Mirani",8.71,1991,"Jul-Sep","PD","Sarichs",5.44,1991,"Jul-Sep","PD","Whitefd",3.75
"364",1992,"Jul-Sep","PD","Gargett",1.9,1992,"Jul-Sep","PD","Mirani",0.78,1992,"Jul-Sep","PD","Sarichs",0,1992,"Jul-Sep","PD","Whitefd",0
"365",1993,"Jul-Sep","PD","Gargett",8.74,1993,"Jul-Sep","PD","Mirani",5.22,1993,"Jul-Sep","PD","Sarichs",0.03,1993,"Jul-Sep","PD","Whitefd",0.23
"366",1994,"Jul-Sep","PD","Gargett",8.28,1994,"Jul-Sep","PD","Mirani",5.76,1994,"Jul-Sep","PD","Sarichs",0.06,1994,"Jul-Sep","PD","Whitefd",0.85
"367",1995,"Jul-Sep","PD","Gargett",8.21,1995,"Jul-Sep","PD","Mirani",5.12,1995,"Jul-Sep","PD","Sarichs",0.01,1995,"Jul-Sep","PD","Whitefd",0.61
"368",1996,"Jul-Sep","PD","Gargett",7.47,1996,"Jul-Sep","PD","Mirani",5.35,1996,"Jul-Sep","PD","Sarichs",0.24,1996,"Jul-Sep","PD","Whitefd",1.47
"369",1997,"Jul-Sep","PD","Gargett",9.9,1997,"Jul-Sep","PD","Mirani",10.86,1997,"Jul-Sep","PD","Sarichs",0.99,1997,"Jul-Sep","PD","Whitefd",1.96
"370",1998,"Jul-Sep","PD","Gargett",14.43,1998,"Jul-Sep","PD","Mirani",11.41,1998,"Jul-Sep","PD","Sarichs",1.53,1998,"Jul-Sep","PD","Whitefd",2.51
"371",1999,"Jul-Sep","PD","Gargett",10.22,1999,"Jul-Sep","PD","Mirani",12.18,1999,"Jul-Sep","PD","Sarichs",4.18,1999,"Jul-Sep","PD","Whitefd",2.76
"372",2000,"Jul-Sep","PD","Gargett",11.67,2000,"Jul-Sep","PD","Mirani",15.24,2000,"Jul-Sep","PD","Sarichs",12.95,2000,"Jul-Sep","PD","Whitefd",9.42
"373",2001,"Jul-Sep","PD","Gargett",8.88,2001,"Jul-Sep","PD","Mirani",8.35,2001,"Jul-Sep","PD","Sarichs",2.87,2001,"Jul-Sep","PD","Whitefd",3.15
"374",2002,"Jul-Sep","PD","Gargett",8.82,2002,"Jul-Sep","PD","Mirani",5.83,2002,"Jul-Sep","PD","Sarichs",1.54,2002,"Jul-Sep","PD","Whitefd",1.08
"375",2003,"Jul-Sep","PD","Gargett",7.43,2003,"Jul-Sep","PD","Mirani",3.58,2003,"Jul-Sep","PD","Sarichs",0.18,2003,"Jul-Sep","PD","Whitefd",0
"376",2004,"Jul-Sep","PD","Gargett",4.07,2004,"Jul-Sep","PD","Mirani",1.2,2004,"Jul-Sep","PD","Sarichs",0,2004,"Jul-Sep","PD","Whitefd",0.05
"377",2005,"Jul-Sep","PD","Gargett",9.2,2005,"Jul-Sep","PD","Mirani",8.73,2005,"Jul-Sep","PD","Sarichs",0,2005,"Jul-Sep","PD","Whitefd",0
"378",2006,"Jul-Sep","PD","Gargett",9.99,2006,"Jul-Sep","PD","Mirani",10.38,2006,"Jul-Sep","PD","Sarichs",0.37,2006,"Jul-Sep","PD","Whitefd",0.63
"379",2007,"Jul-Sep","PD","Gargett",12.52,2007,"Jul-Sep","PD","Mirani",14.05,2007,"Jul-Sep","PD","Sarichs",4.8,2007,"Jul-Sep","PD","Whitefd",2.62
"380",2008,"Jul-Sep","PD","Gargett",8.75,2008,"Jul-Sep","PD","Mirani",9.79,2008,"Jul-Sep","PD","Sarichs",3.03,2008,"Jul-Sep","PD","Whitefd",2.77
"381",2009,"Jul-Sep","PD","Gargett",8.97,2009,"Jul-Sep","PD","Mirani",10.53,2009,"Jul-Sep","PD","Sarichs",3.73,2009,"Jul-Sep","PD","Whitefd",2.27
"382",2010,"Jul-Sep","PD","Gargett",10.1,2010,"Jul-Sep","PD","Mirani",13.03,2010,"Jul-Sep","PD","Sarichs",9.23,2010,"Jul-Sep","PD","Whitefd",5.49
"383",2011,"Jul-Sep","PD","Gargett",10.98,2011,"Jul-Sep","PD","Mirani",14.79,2011,"Jul-Sep","PD","Sarichs",9.64,2011,"Jul-Sep","PD","Whitefd",7.77
"384",2012,"Jul-Sep","PD","Gargett",14.85,2012,"Jul-Sep","PD","Mirani",17.5,2012,"Jul-Sep","PD","Sarichs",13.7,2012,"Jul-Sep","PD","Whitefd",9.42
"385",2013,"Jul-Sep","PD","Gargett",11.13,2013,"Jul-Sep","PD","Mirani",12.76,2013,"Jul-Sep","PD","Sarichs",5.83,2013,"Jul-Sep","PD","Whitefd",4.86
"386",2014,"Jul-Sep","PD","Gargett",10.23,2014,"Jul-Sep","PD","Mirani",10.98,2014,"Jul-Sep","PD","Sarichs",1.91,2014,"Jul-Sep","PD","Whitefd",2.51
"387",2015,"Jul-Sep","PD","Gargett",9.87,2015,"Jul-Sep","PD","Mirani",9.33,2015,"Jul-Sep","PD","Sarichs",0.48,2015,"Jul-Sep","PD","Whitefd",1.09
"388",2016,"Jul-Sep","PD","Gargett",10.69,2016,"Jul-Sep","PD","Mirani",10.94,2016,"Jul-Sep","PD","Sarichs",3.6,2016,"Jul-Sep","PD","Whitefd",2.26
"389",2017,"Jul-Sep","PD","Gargett",9.99,2017,"Jul-Sep","PD","Mirani",13.7,2017,"Jul-Sep","PD","Sarichs",6.28,2017,"Jul-Sep","PD","Whitefd",4.09
"390",2018,"Jul-Sep","PD","Gargett",8.96,2018,"Jul-Sep","PD","Mirani",5.79,2018,"Jul-Sep","PD","Sarichs",0.49,2018,"Jul-Sep","PD","Whitefd",2.06
"391",1889,"Oct-Dec","PD","Gargett",8.26,1889,"Oct-Dec","PD","Mirani",4.21,1889,"Oct-Dec","PD","Sarichs",1.94,1889,"Oct-Dec","PD","Whitefd",1.38
"392",1890,"Oct-Dec","PD","Gargett",10.8,1890,"Oct-Dec","PD","Mirani",12.09,1890,"Oct-Dec","PD","Sarichs",5.46,1890,"Oct-Dec","PD","Whitefd",4.35
"393",1891,"Oct-Dec","PD","Gargett",8.33,1891,"Oct-Dec","PD","Mirani",5.6,1891,"Oct-Dec","PD","Sarichs",1.3,1891,"Oct-Dec","PD","Whitefd",1.84
"394",1892,"Oct-Dec","PD","Gargett",4.43,1892,"Oct-Dec","PD","Mirani",1.35,1892,"Oct-Dec","PD","Sarichs",0,1892,"Oct-Dec","PD","Whitefd",0
"395",1893,"Oct-Dec","PD","Gargett",9.31,1893,"Oct-Dec","PD","Mirani",8.43,1893,"Oct-Dec","PD","Sarichs",2.72,1893,"Oct-Dec","PD","Whitefd",3.25
"396",1894,"Oct-Dec","PD","Gargett",8.04,1894,"Oct-Dec","PD","Mirani",7.99,1894,"Oct-Dec","PD","Sarichs",4.02,1894,"Oct-Dec","PD","Whitefd",3.09
"397",1895,"Oct-Dec","PD","Gargett",0.51,1895,"Oct-Dec","PD","Mirani",0.01,1895,"Oct-Dec","PD","Sarichs",0,1895,"Oct-Dec","PD","Whitefd",0
"398",1896,"Oct-Dec","PD","Gargett",1.48,1896,"Oct-Dec","PD","Mirani",0.4,1896,"Oct-Dec","PD","Sarichs",0,1896,"Oct-Dec","PD","Whitefd",1.05
"399",1897,"Oct-Dec","PD","Gargett",0.72,1897,"Oct-Dec","PD","Mirani",0,1897,"Oct-Dec","PD","Sarichs",0,1897,"Oct-Dec","PD","Whitefd",0
"400",1898,"Oct-Dec","PD","Gargett",2.83,1898,"Oct-Dec","PD","Mirani",0.81,1898,"Oct-Dec","PD","Sarichs",0.05,1898,"Oct-Dec","PD","Whitefd",0.98
"401",1899,"Oct-Dec","PD","Gargett",4.9,1899,"Oct-Dec","PD","Mirani",1.36,1899,"Oct-Dec","PD","Sarichs",0,1899,"Oct-Dec","PD","Whitefd",0
"402",1900,"Oct-Dec","PD","Gargett",0.9,1900,"Oct-Dec","PD","Mirani",0.17,1900,"Oct-Dec","PD","Sarichs",0,1900,"Oct-Dec","PD","Whitefd",0
"403",1901,"Oct-Dec","PD","Gargett",4.8,1901,"Oct-Dec","PD","Mirani",1.24,1901,"Oct-Dec","PD","Sarichs",0,1901,"Oct-Dec","PD","Whitefd",0
"404",1902,"Oct-Dec","PD","Gargett",1.13,1902,"Oct-Dec","PD","Mirani",0.82,1902,"Oct-Dec","PD","Sarichs",0,1902,"Oct-Dec","PD","Whitefd",0
"405",1903,"Oct-Dec","PD","Gargett",6.1,1903,"Oct-Dec","PD","Mirani",3.53,1903,"Oct-Dec","PD","Sarichs",0.69,1903,"Oct-Dec","PD","Whitefd",0.74
"406",1904,"Oct-Dec","PD","Gargett",1.19,1904,"Oct-Dec","PD","Mirani",0.22,1904,"Oct-Dec","PD","Sarichs",0,1904,"Oct-Dec","PD","Whitefd",0
"407",1905,"Oct-Dec","PD","Gargett",2.75,1905,"Oct-Dec","PD","Mirani",1.58,1905,"Oct-Dec","PD","Sarichs",0.06,1905,"Oct-Dec","PD","Whitefd",0.42
