"","ï..Year","Season","Scenario","Site","Habitat"
"1034",2012,"Oct-Dec","FE","Gargett",9.12
"1035",2013,"Oct-Dec","FE","Gargett",9.09
"1036",2014,"Oct-Dec","FE","Gargett",9.1
"1037",2015,"Oct-Dec","FE","Gargett",9.43
"1038",2016,"Oct-Dec","FE","Gargett",8.74
"1039",2017,"Oct-Dec","FE","Gargett",7.59
"1040",2018,"Oct-Dec","FE","Gargett",8.31
"1041",1889,"Jan-Mar","PD","Mirani",6.97
"1042",1890,"Jan-Mar","PD","Mirani",9.44
"1043",1891,"Jan-Mar","PD","Mirani",8.57
"1044",1892,"Jan-Mar","PD","Mirani",5.14
"1045",1893,"Jan-Mar","PD","Mirani",8.74
"1046",1894,"Jan-Mar","PD","Mirani",11
"1047",1895,"Jan-Mar","PD","Mirani",10.37
"1048",1896,"Jan-Mar","PD","Mirani",10.53
"1049",1897,"Jan-Mar","PD","Mirani",8.78
"1050",1898,"Jan-Mar","PD","Mirani",6.06
"1051",1899,"Jan-Mar","PD","Mirani",11.3
"1052",1900,"Jan-Mar","PD","Mirani",11.11
"1053",1901,"Jan-Mar","PD","Mirani",4.19
"1054",1902,"Jan-Mar","PD","Mirani",5.19
"1055",1903,"Jan-Mar","PD","Mirani",13.18
"1056",1904,"Jan-Mar","PD","Mirani",10.47
"1057",1905,"Jan-Mar","PD","Mirani",8.03
"1058",1906,"Jan-Mar","PD","Mirani",9.43
"1059",1907,"Jan-Mar","PD","Mirani",9.77
"1060",1908,"Jan-Mar","PD","Mirani",9.4
"1061",1909,"Jan-Mar","PD","Mirani",5.05
"1062",1910,"Jan-Mar","PD","Mirani",9.6
"1063",1911,"Jan-Mar","PD","Mirani",2.98
"1064",1912,"Jan-Mar","PD","Mirani",13.82
"1065",1913,"Jan-Mar","PD","Mirani",9.45
"1066",1914,"Jan-Mar","PD","Mirani",1
"1067",1915,"Jan-Mar","PD","Mirani",5.26
"1068",1916,"Jan-Mar","PD","Mirani",8.08
"1069",1917,"Jan-Mar","PD","Mirani",5.88
"1070",1918,"Jan-Mar","PD","Mirani",7.09
"1071",1919,"Jan-Mar","PD","Mirani",6.3
"1072",1920,"Jan-Mar","PD","Mirani",6.57
"1073",1921,"Jan-Mar","PD","Mirani",12.14
"1074",1922,"Jan-Mar","PD","Mirani",7.56
"1075",1923,"Jan-Mar","PD","Mirani",6.18
"1076",1924,"Jan-Mar","PD","Mirani",6.12
"1077",1925,"Jan-Mar","PD","Mirani",3.96
"1078",1926,"Jan-Mar","PD","Mirani",13.02
"1079",1927,"Jan-Mar","PD","Mirani",19.48
"1080",1928,"Jan-Mar","PD","Mirani",9.91
"1081",1929,"Jan-Mar","PD","Mirani",8.86
"1082",1930,"Jan-Mar","PD","Mirani",4.18
"1083",1931,"Jan-Mar","PD","Mirani",8.99
"1084",1932,"Jan-Mar","PD","Mirani",7.01
"1085",1933,"Jan-Mar","PD","Mirani",13.03
"1086",1934,"Jan-Mar","PD","Mirani",3.1
"1087",1935,"Jan-Mar","PD","Mirani",3.04
"1088",1936,"Jan-Mar","PD","Mirani",5.58
"1089",1937,"Jan-Mar","PD","Mirani",4.39
"1090",1938,"Jan-Mar","PD","Mirani",7.78
"1091",1939,"Jan-Mar","PD","Mirani",6.65
"1092",1940,"Jan-Mar","PD","Mirani",9.7
"1093",1941,"Jan-Mar","PD","Mirani",5.59
"1094",1942,"Jan-Mar","PD","Mirani",12.84
"1095",1943,"Jan-Mar","PD","Mirani",7.8
"1096",1944,"Jan-Mar","PD","Mirani",2.33
"1097",1945,"Jan-Mar","PD","Mirani",15.26
"1098",1946,"Jan-Mar","PD","Mirani",7.2
"1099",1947,"Jan-Mar","PD","Mirani",4.44
"1100",1948,"Jan-Mar","PD","Mirani",7.08
"1101",1949,"Jan-Mar","PD","Mirani",4.1
"1102",1950,"Jan-Mar","PD","Mirani",20.83
"1103",1951,"Jan-Mar","PD","Mirani",9.37
"1104",1952,"Jan-Mar","PD","Mirani",10.23
"1105",1953,"Jan-Mar","PD","Mirani",6.18
"1106",1954,"Jan-Mar","PD","Mirani",3.63
"1107",1955,"Jan-Mar","PD","Mirani",5.62
"1108",1956,"Jan-Mar","PD","Mirani",12.63
"1109",1957,"Jan-Mar","PD","Mirani",14.44
"1110",1958,"Jan-Mar","PD","Mirani",8.65
"1111",1959,"Jan-Mar","PD","Mirani",9.38
"1112",1960,"Jan-Mar","PD","Mirani",9.58
"1113",1961,"Jan-Mar","PD","Mirani",6.66
"1114",1962,"Jan-Mar","PD","Mirani",11.4
"1115",1963,"Jan-Mar","PD","Mirani",5.3
"1116",1964,"Jan-Mar","PD","Mirani",5.2
"1117",1965,"Jan-Mar","PD","Mirani",8.94
"1118",1966,"Jan-Mar","PD","Mirani",6.46
"1119",1967,"Jan-Mar","PD","Mirani",9.41
"1120",1968,"Jan-Mar","PD","Mirani",1.82
"1121",1969,"Jan-Mar","PD","Mirani",10.01
"1122",1970,"Jan-Mar","PD","Mirani",5.13
"1123",1971,"Jan-Mar","PD","Mirani",12.33
"1124",1972,"Jan-Mar","PD","Mirani",4.65
"1125",1973,"Jan-Mar","PD","Mirani",9.51
"1126",1974,"Jan-Mar","PD","Mirani",11.38
"1127",1975,"Jan-Mar","PD","Mirani",15.11
"1128",1976,"Jan-Mar","PD","Mirani",10.2
"1129",1977,"Jan-Mar","PD","Mirani",7.15
"1130",1978,"Jan-Mar","PD","Mirani",4.26
"1131",1979,"Jan-Mar","PD","Mirani",9.57
"1132",1980,"Jan-Mar","PD","Mirani",7.79
"1133",1981,"Jan-Mar","PD","Mirani",2.27
"1134",1982,"Jan-Mar","PD","Mirani",1.4
"1135",1983,"Jan-Mar","PD","Mirani",5.76
"1136",1984,"Jan-Mar","PD","Mirani",3.02
"1137",1985,"Jan-Mar","PD","Mirani",8.17
"1138",1986,"Jan-Mar","PD","Mirani",1.06
"1139",1987,"Jan-Mar","PD","Mirani",3.52
"1140",1988,"Jan-Mar","PD","Mirani",7.24
"1141",1989,"Jan-Mar","PD","Mirani",1.84
"1142",1990,"Jan-Mar","PD","Mirani",12.68
"1143",1991,"Jan-Mar","PD","Mirani",0.91
"1144",1992,"Jan-Mar","PD","Mirani",5.65
"1145",1993,"Jan-Mar","PD","Mirani",4.61
"1146",1994,"Jan-Mar","PD","Mirani",4.04
"1147",1995,"Jan-Mar","PD","Mirani",5.54
"1148",1996,"Jan-Mar","PD","Mirani",3.79
"1149",1997,"Jan-Mar","PD","Mirani",8.64
"1150",1998,"Jan-Mar","PD","Mirani",10.62
"1151",1999,"Jan-Mar","PD","Mirani",14.3
"1152",2000,"Jan-Mar","PD","Mirani",13.01
"1153",2001,"Jan-Mar","PD","Mirani",6.89
"1154",2002,"Jan-Mar","PD","Mirani",2.7
"1155",2003,"Jan-Mar","PD","Mirani",7.09
"1156",2004,"Jan-Mar","PD","Mirani",6.34
"1157",2005,"Jan-Mar","PD","Mirani",3.67
"1158",2006,"Jan-Mar","PD","Mirani",11.63
"1159",2007,"Jan-Mar","PD","Mirani",13.19
"1160",2008,"Jan-Mar","PD","Mirani",7.86
"1161",2009,"Jan-Mar","PD","Mirani",6.54
"1162",2010,"Jan-Mar","PD","Mirani",12.88
"1163",2011,"Jan-Mar","PD","Mirani",7.99
"1164",2012,"Jan-Mar","PD","Mirani",8
"1165",2013,"Jan-Mar","PD","Mirani",8.41
"1166",2014,"Jan-Mar","PD","Mirani",8.06
"1167",2015,"Jan-Mar","PD","Mirani",3.34
"1168",2016,"Jan-Mar","PD","Mirani",10.24
"1169",2017,"Jan-Mar","PD","Mirani",6.21
"1170",2018,"Jan-Mar","PD","Mirani",8.9
"1171",1889,"Apr-Jun","PD","Mirani",22.65
"1172",1890,"Apr-Jun","PD","Mirani",15.83
"1173",1891,"Apr-Jun","PD","Mirani",8.64
"1174",1892,"Apr-Jun","PD","Mirani",12.42
"1175",1893,"Apr-Jun","PD","Mirani",16.46
"1176",1894,"Apr-Jun","PD","Mirani",16.15
"1177",1895,"Apr-Jun","PD","Mirani",19.81
"1178",1896,"Apr-Jun","PD","Mirani",8.87
"1179",1897,"Apr-Jun","PD","Mirani",22.57
"1180",1898,"Apr-Jun","PD","Mirani",15.9
"1181",1899,"Apr-Jun","PD","Mirani",5.83
"1182",1900,"Apr-Jun","PD","Mirani",14.75
"1183",1901,"Apr-Jun","PD","Mirani",1.7
"1184",1902,"Apr-Jun","PD","Mirani",14.97
"1185",1903,"Apr-Jun","PD","Mirani",12.61
"1186",1904,"Apr-Jun","PD","Mirani",12.81
"1187",1905,"Apr-Jun","PD","Mirani",19.65
"1188",1906,"Apr-Jun","PD","Mirani",9.43
"1189",1907,"Apr-Jun","PD","Mirani",15.42
"1190",1908,"Apr-Jun","PD","Mirani",13.88
"1191",1909,"Apr-Jun","PD","Mirani",24.43
"1192",1910,"Apr-Jun","PD","Mirani",16.88
"1193",1911,"Apr-Jun","PD","Mirani",8.02
"1194",1912,"Apr-Jun","PD","Mirani",17.53
"1195",1913,"Apr-Jun","PD","Mirani",15.36
"1196",1914,"Apr-Jun","PD","Mirani",0
"1197",1915,"Apr-Jun","PD","Mirani",6.01
"1198",1916,"Apr-Jun","PD","Mirani",16.68
"1199",1917,"Apr-Jun","PD","Mirani",18.49
"1200",1918,"Apr-Jun","PD","Mirani",12.97
"1201",1919,"Apr-Jun","PD","Mirani",10.87
"1202",1920,"Apr-Jun","PD","Mirani",16.47
"1203",1921,"Apr-Jun","PD","Mirani",13.38
"1204",1922,"Apr-Jun","PD","Mirani",8.61
"1205",1923,"Apr-Jun","PD","Mirani",15.26
"1206",1924,"Apr-Jun","PD","Mirani",17.35
"1207",1925,"Apr-Jun","PD","Mirani",5.37
"1208",1926,"Apr-Jun","PD","Mirani",14.17
"1209",1927,"Apr-Jun","PD","Mirani",18.12
"1210",1928,"Apr-Jun","PD","Mirani",16.4
"1211",1929,"Apr-Jun","PD","Mirani",13.06
"1212",1930,"Apr-Jun","PD","Mirani",12.05
"1213",1931,"Apr-Jun","PD","Mirani",11.7
"1214",1932,"Apr-Jun","PD","Mirani",11.76
"1215",1933,"Apr-Jun","PD","Mirani",17.4
"1216",1934,"Apr-Jun","PD","Mirani",7.71
"1217",1935,"Apr-Jun","PD","Mirani",18.56
"1218",1936,"Apr-Jun","PD","Mirani",14.2
"1219",1937,"Apr-Jun","PD","Mirani",9.15
"1220",1938,"Apr-Jun","PD","Mirani",15.62
"1221",1939,"Apr-Jun","PD","Mirani",15.97
"1222",1940,"Apr-Jun","PD","Mirani",19.44
"1223",1941,"Apr-Jun","PD","Mirani",15.41
"1224",1942,"Apr-Jun","PD","Mirani",16.1
"1225",1943,"Apr-Jun","PD","Mirani",18.87
"1226",1944,"Apr-Jun","PD","Mirani",10.91
"1227",1945,"Apr-Jun","PD","Mirani",19.07
"1228",1946,"Apr-Jun","PD","Mirani",14.6
"1229",1947,"Apr-Jun","PD","Mirani",7.6
"1230",1948,"Apr-Jun","PD","Mirani",20.47
"1231",1949,"Apr-Jun","PD","Mirani",23.45
"1232",1950,"Apr-Jun","PD","Mirani",15.68
"1233",1951,"Apr-Jun","PD","Mirani",11.56
"1234",1952,"Apr-Jun","PD","Mirani",15.41
"1235",1953,"Apr-Jun","PD","Mirani",21.12
"1236",1954,"Apr-Jun","PD","Mirani",26.71
"1237",1955,"Apr-Jun","PD","Mirani",19.19
"1238",1956,"Apr-Jun","PD","Mirani",11.81
"1239",1957,"Apr-Jun","PD","Mirani",19.9
"1240",1958,"Apr-Jun","PD","Mirani",16.19
"1241",1959,"Apr-Jun","PD","Mirani",16.87
"1242",1960,"Apr-Jun","PD","Mirani",12.21
"1243",1961,"Apr-Jun","PD","Mirani",15.32
"1244",1962,"Apr-Jun","PD","Mirani",20.51
"1245",1963,"Apr-Jun","PD","Mirani",11.79
"1246",1964,"Apr-Jun","PD","Mirani",9.51
"1247",1965,"Apr-Jun","PD","Mirani",6.92
"1248",1966,"Apr-Jun","PD","Mirani",10.3
"1249",1967,"Apr-Jun","PD","Mirani",15.8
"1250",1968,"Apr-Jun","PD","Mirani",11.44
"1251",1969,"Apr-Jun","PD","Mirani",15.04
"1252",1970,"Apr-Jun","PD","Mirani",16.52
"1253",1971,"Apr-Jun","PD","Mirani",17.25
"1254",1972,"Apr-Jun","PD","Mirani",11.5
"1255",1973,"Apr-Jun","PD","Mirani",23.11
"1256",1974,"Apr-Jun","PD","Mirani",15.44
"1257",1975,"Apr-Jun","PD","Mirani",27.33
"1258",1976,"Apr-Jun","PD","Mirani",20.38
"1259",1977,"Apr-Jun","PD","Mirani",13.2
"1260",1978,"Apr-Jun","PD","Mirani",21.37
"1261",1979,"Apr-Jun","PD","Mirani",14.85
"1262",1980,"Apr-Jun","PD","Mirani",13.73
"1263",1981,"Apr-Jun","PD","Mirani",10.51
"1264",1982,"Apr-Jun","PD","Mirani",5.21
"1265",1983,"Apr-Jun","PD","Mirani",6.33
"1266",1984,"Apr-Jun","PD","Mirani",15.81
"1267",1985,"Apr-Jun","PD","Mirani",10.36
"1268",1986,"Apr-Jun","PD","Mirani",6.29
"1269",1987,"Apr-Jun","PD","Mirani",14.7
"1270",1988,"Apr-Jun","PD","Mirani",27.81
"1271",1989,"Apr-Jun","PD","Mirani",8.05
"1272",1990,"Apr-Jun","PD","Mirani",17.86
"1273",1991,"Apr-Jun","PD","Mirani",1.1
"1274",1992,"Apr-Jun","PD","Mirani",7.43
"1275",1993,"Apr-Jun","PD","Mirani",14.01
"1276",1994,"Apr-Jun","PD","Mirani",9.55
"1277",1995,"Apr-Jun","PD","Mirani",9.07
"1278",1996,"Apr-Jun","PD","Mirani",15.39
"1279",1997,"Apr-Jun","PD","Mirani",10.84
"1280",1998,"Apr-Jun","PD","Mirani",17.84
"1281",1999,"Apr-Jun","PD","Mirani",17.78
"1282",2000,"Apr-Jun","PD","Mirani",15.83
"1283",2001,"Apr-Jun","PD","Mirani",5.52
"1284",2002,"Apr-Jun","PD","Mirani",6.38
"1285",2003,"Apr-Jun","PD","Mirani",5.38
"1286",2004,"Apr-Jun","PD","Mirani",8.99
"1287",2005,"Apr-Jun","PD","Mirani",10.91
"1288",2006,"Apr-Jun","PD","Mirani",14.79
"1289",2007,"Apr-Jun","PD","Mirani",15.79
"1290",2008,"Apr-Jun","PD","Mirani",16.5
"1291",2009,"Apr-Jun","PD","Mirani",26.08
"1292",2010,"Apr-Jun","PD","Mirani",26.16
"1293",2011,"Apr-Jun","PD","Mirani",19.07
"1294",2012,"Apr-Jun","PD","Mirani",23.19
"1295",2013,"Apr-Jun","PD","Mirani",13.71
"1296",2014,"Apr-Jun","PD","Mirani",9.02
"1297",2015,"Apr-Jun","PD","Mirani",10.61
"1298",2016,"Apr-Jun","PD","Mirani",13.89
"1299",2017,"Apr-Jun","PD","Mirani",13.67
"1300",2018,"Apr-Jun","PD","Mirani",16.15
"1301",1889,"Jul-Sep","PD","Mirani",8.84
"1302",1890,"Jul-Sep","PD","Mirani",12.05
"1303",1891,"Jul-Sep","PD","Mirani",16.84
"1304",1892,"Jul-Sep","PD","Mirani",3.53
"1305",1893,"Jul-Sep","PD","Mirani",9.23
"1306",1894,"Jul-Sep","PD","Mirani",17.17
"1307",1895,"Jul-Sep","PD","Mirani",4.24
"1308",1896,"Jul-Sep","PD","Mirani",7.43
"1309",1897,"Jul-Sep","PD","Mirani",1.44
"1310",1898,"Jul-Sep","PD","Mirani",9.43
"1311",1899,"Jul-Sep","PD","Mirani",8.06
"1312",1900,"Jul-Sep","PD","Mirani",3.1
"1313",1901,"Jul-Sep","PD","Mirani",3.52
"1314",1902,"Jul-Sep","PD","Mirani",0
"1315",1903,"Jul-Sep","PD","Mirani",7.8
"1316",1904,"Jul-Sep","PD","Mirani",2.31
"1317",1905,"Jul-Sep","PD","Mirani",2.5
"1318",1906,"Jul-Sep","PD","Mirani",12.83
"1319",1907,"Jul-Sep","PD","Mirani",7.67
"1320",1908,"Jul-Sep","PD","Mirani",8.78
"1321",1909,"Jul-Sep","PD","Mirani",2.13
"1322",1910,"Jul-Sep","PD","Mirani",10.37
"1323",1911,"Jul-Sep","PD","Mirani",7.53
"1324",1912,"Jul-Sep","PD","Mirani",14.31
"1325",1913,"Jul-Sep","PD","Mirani",13.92
"1326",1914,"Jul-Sep","PD","Mirani",13.71
"1327",1915,"Jul-Sep","PD","Mirani",0
"1328",1916,"Jul-Sep","PD","Mirani",7.11
"1329",1917,"Jul-Sep","PD","Mirani",11.82
"1330",1918,"Jul-Sep","PD","Mirani",8.04
"1331",1919,"Jul-Sep","PD","Mirani",11.24
"1332",1920,"Jul-Sep","PD","Mirani",11.77
"1333",1921,"Jul-Sep","PD","Mirani",10.81
"1334",1922,"Jul-Sep","PD","Mirani",7.65
"1335",1923,"Jul-Sep","PD","Mirani",4.03
"1336",1924,"Jul-Sep","PD","Mirani",13.82
"1337",1925,"Jul-Sep","PD","Mirani",11.08
"1338",1926,"Jul-Sep","PD","Mirani",2.61
"1339",1927,"Jul-Sep","PD","Mirani",7.99
"1340",1928,"Jul-Sep","PD","Mirani",10.68
"1341",1929,"Jul-Sep","PD","Mirani",9.96
"1342",1930,"Jul-Sep","PD","Mirani",15.75
"1343",1931,"Jul-Sep","PD","Mirani",4.49
"1344",1932,"Jul-Sep","PD","Mirani",5.9
"1345",1933,"Jul-Sep","PD","Mirani",10.47
"1346",1934,"Jul-Sep","PD","Mirani",13.19
"1347",1935,"Jul-Sep","PD","Mirani",2.04
"1348",1936,"Jul-Sep","PD","Mirani",15.9
"1349",1937,"Jul-Sep","PD","Mirani",9.52
"1350",1938,"Jul-Sep","PD","Mirani",9.26
"1351",1939,"Jul-Sep","PD","Mirani",10.84
"1352",1940,"Jul-Sep","PD","Mirani",12.24
"1353",1941,"Jul-Sep","PD","Mirani",15.66
"1354",1942,"Jul-Sep","PD","Mirani",15.5
"1355",1943,"Jul-Sep","PD","Mirani",12.46
"1356",1944,"Jul-Sep","PD","Mirani",12.16
"1357",1945,"Jul-Sep","PD","Mirani",11.71
"1358",1946,"Jul-Sep","PD","Mirani",5.24
"1359",1947,"Jul-Sep","PD","Mirani",8.66
"1360",1948,"Jul-Sep","PD","Mirani",5.93
"1361",1949,"Jul-Sep","PD","Mirani",7.64
"1362",1950,"Jul-Sep","PD","Mirani",26.62
"1363",1951,"Jul-Sep","PD","Mirani",5.31
"1364",1952,"Jul-Sep","PD","Mirani",7.27
"1365",1953,"Jul-Sep","PD","Mirani",3.34
"1366",1954,"Jul-Sep","PD","Mirani",11.8
"1367",1955,"Jul-Sep","PD","Mirani",16.46
"1368",1956,"Jul-Sep","PD","Mirani",15.41
"1369",1957,"Jul-Sep","PD","Mirani",6.65
"1370",1958,"Jul-Sep","PD","Mirani",14.01
"1371",1959,"Jul-Sep","PD","Mirani",6.88
"1372",1960,"Jul-Sep","PD","Mirani",5
"1373",1961,"Jul-Sep","PD","Mirani",5.88
"1374",1962,"Jul-Sep","PD","Mirani",4.1
"1375",1963,"Jul-Sep","PD","Mirani",13.49
"1376",1964,"Jul-Sep","PD","Mirani",9.07
"1377",1965,"Jul-Sep","PD","Mirani",2.51
"1378",1966,"Jul-Sep","PD","Mirani",3.12
"1379",1967,"Jul-Sep","PD","Mirani",13.18
"1380",1968,"Jul-Sep","PD","Mirani",7.27
"1381",1969,"Jul-Sep","PD","Mirani",8.05
"1382",1970,"Jul-Sep","PD","Mirani",5.19
"1383",1971,"Jul-Sep","PD","Mirani",8.65
"1384",1972,"Jul-Sep","PD","Mirani",8.9
"1385",1973,"Jul-Sep","PD","Mirani",8.92
"1386",1974,"Jul-Sep","PD","Mirani",14.02
"1387",1975,"Jul-Sep","PD","Mirani",11.79
"1388",1976,"Jul-Sep","PD","Mirani",11.89
"1389",1977,"Jul-Sep","PD","Mirani",15.22
"1390",1978,"Jul-Sep","PD","Mirani",10.17
"1391",1979,"Jul-Sep","PD","Mirani",11.71
"1392",1980,"Jul-Sep","PD","Mirani",11.87
"1393",1981,"Jul-Sep","PD","Mirani",11.74
"1394",1982,"Jul-Sep","PD","Mirani",3.37
"1395",1983,"Jul-Sep","PD","Mirani",10.49
"1396",1984,"Jul-Sep","PD","Mirani",5.31
"1397",1985,"Jul-Sep","PD","Mirani",12.72
"1398",1986,"Jul-Sep","PD","Mirani",9.21
"1399",1987,"Jul-Sep","PD","Mirani",9.55
"1400",1988,"Jul-Sep","PD","Mirani",12.18
"1401",1989,"Jul-Sep","PD","Mirani",17.76
"1402",1990,"Jul-Sep","PD","Mirani",15.84
"1403",1991,"Jul-Sep","PD","Mirani",8.71
"1404",1992,"Jul-Sep","PD","Mirani",0.78
"1405",1993,"Jul-Sep","PD","Mirani",5.22
"1406",1994,"Jul-Sep","PD","Mirani",5.76
"1407",1995,"Jul-Sep","PD","Mirani",5.12
"1408",1996,"Jul-Sep","PD","Mirani",5.35
"1409",1997,"Jul-Sep","PD","Mirani",10.86
"1410",1998,"Jul-Sep","PD","Mirani",11.41
"1411",1999,"Jul-Sep","PD","Mirani",12.18
"1412",2000,"Jul-Sep","PD","Mirani",15.24
"1413",2001,"Jul-Sep","PD","Mirani",8.35
"1414",2002,"Jul-Sep","PD","Mirani",5.83
"1415",2003,"Jul-Sep","PD","Mirani",3.58
"1416",2004,"Jul-Sep","PD","Mirani",1.2
"1417",2005,"Jul-Sep","PD","Mirani",8.73
"1418",2006,"Jul-Sep","PD","Mirani",10.38
"1419",2007,"Jul-Sep","PD","Mirani",14.05
"1420",2008,"Jul-Sep","PD","Mirani",9.79
"1421",2009,"Jul-Sep","PD","Mirani",10.53
"1422",2010,"Jul-Sep","PD","Mirani",13.03
"1423",2011,"Jul-Sep","PD","Mirani",14.79
"1424",2012,"Jul-Sep","PD","Mirani",17.5
"1425",2013,"Jul-Sep","PD","Mirani",12.76
"1426",2014,"Jul-Sep","PD","Mirani",10.98
"1427",2015,"Jul-Sep","PD","Mirani",9.33
"1428",2016,"Jul-Sep","PD","Mirani",10.94
"1429",2017,"Jul-Sep","PD","Mirani",13.7
"1430",2018,"Jul-Sep","PD","Mirani",5.79
"1431",1889,"Oct-Dec","PD","Mirani",4.21
"1432",1890,"Oct-Dec","PD","Mirani",12.09
"1433",1891,"Oct-Dec","PD","Mirani",5.6
"1434",1892,"Oct-Dec","PD","Mirani",1.35
"1435",1893,"Oct-Dec","PD","Mirani",8.43
"1436",1894,"Oct-Dec","PD","Mirani",7.99
"1437",1895,"Oct-Dec","PD","Mirani",0.01
"1438",1896,"Oct-Dec","PD","Mirani",0.4
"1439",1897,"Oct-Dec","PD","Mirani",0
"1440",1898,"Oct-Dec","PD","Mirani",0.81
"1441",1899,"Oct-Dec","PD","Mirani",1.36
"1442",1900,"Oct-Dec","PD","Mirani",0.17
"1443",1901,"Oct-Dec","PD","Mirani",1.24
"1444",1902,"Oct-Dec","PD","Mirani",0.82
"1445",1903,"Oct-Dec","PD","Mirani",3.53
"1446",1904,"Oct-Dec","PD","Mirani",0.22
"1447",1905,"Oct-Dec","PD","Mirani",1.58
"1448",1906,"Oct-Dec","PD","Mirani",5.22
"1449",1907,"Oct-Dec","PD","Mirani",2.36
"1450",1908,"Oct-Dec","PD","Mirani",0.72
"1451",1909,"Oct-Dec","PD","Mirani",0.27
"1452",1910,"Oct-Dec","PD","Mirani",1.98
"1453",1911,"Oct-Dec","PD","Mirani",0.48
"1454",1912,"Oct-Dec","PD","Mirani",3.29
"1455",1913,"Oct-Dec","PD","Mirani",2.25
"1456",1914,"Oct-Dec","PD","Mirani",3.79
"1457",1915,"Oct-Dec","PD","Mirani",0.75
"1458",1916,"Oct-Dec","PD","Mirani",8.14
"1459",1917,"Oct-Dec","PD","Mirani",6.67
"1460",1918,"Oct-Dec","PD","Mirani",1.39
"1461",1919,"Oct-Dec","PD","Mirani",1.98
"1462",1920,"Oct-Dec","PD","Mirani",9.97
"1463",1921,"Oct-Dec","PD","Mirani",12.92
"1464",1922,"Oct-Dec","PD","Mirani",1.42
"1465",1923,"Oct-Dec","PD","Mirani",0.31
"1466",1924,"Oct-Dec","PD","Mirani",8.98
"1467",1925,"Oct-Dec","PD","Mirani",2.05
"1468",1926,"Oct-Dec","PD","Mirani",3.4
"1469",1927,"Oct-Dec","PD","Mirani",3.98
"1470",1928,"Oct-Dec","PD","Mirani",2.65
"1471",1929,"Oct-Dec","PD","Mirani",1.52
"1472",1930,"Oct-Dec","PD","Mirani",5.79
"1473",1931,"Oct-Dec","PD","Mirani",1.65
"1474",1932,"Oct-Dec","PD","Mirani",1.92
"1475",1933,"Oct-Dec","PD","Mirani",8.12
"1476",1934,"Oct-Dec","PD","Mirani",5.69
"1477",1935,"Oct-Dec","PD","Mirani",0.4
"1478",1936,"Oct-Dec","PD","Mirani",3.61
"1479",1937,"Oct-Dec","PD","Mirani",1.12
"1480",1938,"Oct-Dec","PD","Mirani",1.8
"1481",1939,"Oct-Dec","PD","Mirani",2.03
"1482",1940,"Oct-Dec","PD","Mirani",7.77
"1483",1941,"Oct-Dec","PD","Mirani",4.3
"1484",1942,"Oct-Dec","PD","Mirani",7.82
"1485",1943,"Oct-Dec","PD","Mirani",1.99
"1486",1944,"Oct-Dec","PD","Mirani",1.67
"1487",1945,"Oct-Dec","PD","Mirani",2.91
"1488",1946,"Oct-Dec","PD","Mirani",1.64
"1489",1947,"Oct-Dec","PD","Mirani",1.97
"1490",1948,"Oct-Dec","PD","Mirani",0.88
"1491",1949,"Oct-Dec","PD","Mirani",1.01
"1492",1950,"Oct-Dec","PD","Mirani",16.32
"1493",1951,"Oct-Dec","PD","Mirani",1.25
"1494",1952,"Oct-Dec","PD","Mirani",0.71
"1495",1953,"Oct-Dec","PD","Mirani",0.3
"1496",1954,"Oct-Dec","PD","Mirani",4.97
"1497",1955,"Oct-Dec","PD","Mirani",3.37
"1498",1956,"Oct-Dec","PD","Mirani",7.47
"1499",1957,"Oct-Dec","PD","Mirani",2.54
"1500",1958,"Oct-Dec","PD","Mirani",3.35
"1501",1959,"Oct-Dec","PD","Mirani",1.11
"1502",1960,"Oct-Dec","PD","Mirani",0.63
"1503",1961,"Oct-Dec","PD","Mirani",4.78
"1504",1962,"Oct-Dec","PD","Mirani",1.09
"1505",1963,"Oct-Dec","PD","Mirani",5.56
"1506",1964,"Oct-Dec","PD","Mirani",2.77
"1507",1965,"Oct-Dec","PD","Mirani",0.95
"1508",1966,"Oct-Dec","PD","Mirani",1.98
"1509",1967,"Oct-Dec","PD","Mirani",2.56
"1510",1968,"Oct-Dec","PD","Mirani",1.05
"1511",1969,"Oct-Dec","PD","Mirani",0.73
"1512",1970,"Oct-Dec","PD","Mirani",2.5
"1513",1971,"Oct-Dec","PD","Mirani",0.76
"1514",1972,"Oct-Dec","PD","Mirani",0.38
"1515",1973,"Oct-Dec","PD","Mirani",2.06
"1516",1974,"Oct-Dec","PD","Mirani",3.73
"1517",1975,"Oct-Dec","PD","Mirani",7.24
"1518",1976,"Oct-Dec","PD","Mirani",2.41
"1519",1977,"Oct-Dec","PD","Mirani",2.9
"1520",1978,"Oct-Dec","PD","Mirani",2.79
"1521",1979,"Oct-Dec","PD","Mirani",3.38
"1522",1980,"Oct-Dec","PD","Mirani",1.56
"1523",1981,"Oct-Dec","PD","Mirani",2.73
"1524",1982,"Oct-Dec","PD","Mirani",1.04
"1525",1983,"Oct-Dec","PD","Mirani",2.93
"1526",1984,"Oct-Dec","PD","Mirani",2
"1527",1985,"Oct-Dec","PD","Mirani",6.02
"1528",1986,"Oct-Dec","PD","Mirani",1.98
"1529",1987,"Oct-Dec","PD","Mirani",2.87
"1530",1988,"Oct-Dec","PD","Mirani",8.67
"1531",1989,"Oct-Dec","PD","Mirani",6.14
"1532",1990,"Oct-Dec","PD","Mirani",1.81
