Year,Season,Site,Scenario,Habitat
1909,Jan-Mar,Bilwon SND,PD,3.28
1910,Jan-Mar,Bilwon SND,PD,2.08
1911,Jan-Mar,Bilwon SND,PD,13.96
1912,Jan-Mar,Bilwon SND,PD,2.03
1913,Jan-Mar,Bilwon SND,PD,3.02
1914,Jan-Mar,Bilwon SND,PD,20.98
1915,Jan-Mar,Bilwon SND,PD,3.7
1916,Jan-Mar,Bilwon SND,PD,2.87
1917,Jan-Mar,Bilwon SND,PD,2.96
1918,Jan-Mar,Bilwon SND,PD,10.43
1919,Jan-Mar,Bilwon SND,PD,8.6
1920,Jan-Mar,Bilwon SND,PD,7.17
1921,Jan-Mar,Bilwon SND,PD,5.02
1922,Jan-Mar,Bilwon SND,PD,15.44
1923,Jan-Mar,Bilwon SND,PD,11.58
1924,Jan-Mar,Bilwon SND,PD,4.16
1925,Jan-Mar,Bilwon SND,PD,8.44
1926,Jan-Mar,Bilwon SND,PD,2.91
1927,Jan-Mar,Bilwon SND,PD,8.4
1928,Jan-Mar,Bilwon SND,PD,1.93
1929,Jan-Mar,Bilwon SND,PD,3.66
1930,Jan-Mar,Bilwon SND,PD,12.66
1931,Jan-Mar,Bilwon SND,PD,4.1
1932,Jan-Mar,Bilwon SND,PD,4.7
1933,Jan-Mar,Bilwon SND,PD,1.77
1934,Jan-Mar,Bilwon SND,PD,10.13
1935,Jan-Mar,Bilwon SND,PD,6.6
1936,Jan-Mar,Bilwon SND,PD,7.31
1937,Jan-Mar,Bilwon SND,PD,6.44
1938,Jan-Mar,Bilwon SND,PD,1.47
1939,Jan-Mar,Bilwon SND,PD,2.42
1940,Jan-Mar,Bilwon SND,PD,2.71
1941,Jan-Mar,Bilwon SND,PD,11.62
1942,Jan-Mar,Bilwon SND,PD,5.18
1943,Jan-Mar,Bilwon SND,PD,4.69
1944,Jan-Mar,Bilwon SND,PD,2.7
1945,Jan-Mar,Bilwon SND,PD,2.82
1946,Jan-Mar,Bilwon SND,PD,8.18
1947,Jan-Mar,Bilwon SND,PD,7.82
1948,Jan-Mar,Bilwon SND,PD,5.33
1949,Jan-Mar,Bilwon SND,PD,2.66
1950,Jan-Mar,Bilwon SND,PD,6.34
1951,Jan-Mar,Bilwon SND,PD,9.82
1952,Jan-Mar,Bilwon SND,PD,2.68
1953,Jan-Mar,Bilwon SND,PD,5.84
1954,Jan-Mar,Bilwon SND,PD,6.61
1955,Jan-Mar,Bilwon SND,PD,1.75
1956,Jan-Mar,Bilwon SND,PD,2.4
1957,Jan-Mar,Bilwon SND,PD,4.77
1958,Jan-Mar,Bilwon SND,PD,2.09
1959,Jan-Mar,Bilwon SND,PD,4.55
1960,Jan-Mar,Bilwon SND,PD,12.27
1961,Jan-Mar,Bilwon SND,PD,3.66
1962,Jan-Mar,Bilwon SND,PD,2.17
1963,Jan-Mar,Bilwon SND,PD,2.94
1964,Jan-Mar,Bilwon SND,PD,6.84
1965,Jan-Mar,Bilwon SND,PD,12.27
1966,Jan-Mar,Bilwon SND,PD,6.99
1967,Jan-Mar,Bilwon SND,PD,2.8
1968,Jan-Mar,Bilwon SND,PD,7.13
1969,Jan-Mar,Bilwon SND,PD,4.4
1970,Jan-Mar,Bilwon SND,PD,4.32
1971,Jan-Mar,Bilwon SND,PD,3.56
1972,Jan-Mar,Bilwon SND,PD,6.54
1973,Jan-Mar,Bilwon SND,PD,1.75
1974,Jan-Mar,Bilwon SND,PD,2.38
1975,Jan-Mar,Bilwon SND,PD,1.98
1976,Jan-Mar,Bilwon SND,PD,5.7
1977,Jan-Mar,Bilwon SND,PD,11.46
1978,Jan-Mar,Bilwon SND,PD,4.19
1979,Jan-Mar,Bilwon SND,PD,7.16
1980,Jan-Mar,Bilwon SND,PD,2.49
1981,Jan-Mar,Bilwon SND,PD,7.31
1982,Jan-Mar,Bilwon SND,PD,11.68
1983,Jan-Mar,Bilwon SND,PD,2.99
1984,Jan-Mar,Bilwon SND,PD,1.99
1985,Jan-Mar,Bilwon SND,PD,4.41
1986,Jan-Mar,Bilwon SND,PD,9.33
1987,Jan-Mar,Bilwon SND,PD,13.9
1988,Jan-Mar,Bilwon SND,PD,2.17
1989,Jan-Mar,Bilwon SND,PD,12.92
1990,Jan-Mar,Bilwon SND,PD,2.55
1991,Jan-Mar,Bilwon SND,PD,9.35
1992,Jan-Mar,Bilwon SND,PD,16.94
1993,Jan-Mar,Bilwon SND,PD,3.84
1994,Jan-Mar,Bilwon SND,PD,5.54
1995,Jan-Mar,Bilwon SND,PD,4.05
1996,Jan-Mar,Bilwon SND,PD,5.96
1997,Jan-Mar,Bilwon SND,PD,2.38
1998,Jan-Mar,Bilwon SND,PD,0.89
1999,Jan-Mar,Bilwon SND,PD,4.38
2000,Jan-Mar,Bilwon SND,PD,1.59
2001,Jan-Mar,Bilwon SND,PD,12.76
2002,Jan-Mar,Bilwon SND,PD,7.42
2003,Jan-Mar,Bilwon SND,PD,2.32
2004,Jan-Mar,Bilwon SND,PD,3.65
2005,Jan-Mar,Bilwon SND,PD,10.83
2006,Jan-Mar,Bilwon SND,PD,6.48
2007,Jan-Mar,Bilwon SND,PD,1.29
2008,Jan-Mar,Bilwon SND,PD,2.56
2009,Jan-Mar,Bilwon SND,PD,5.19
2010,Jan-Mar,Bilwon SND,PD,2.44
2011,Jan-Mar,Bilwon SND,PD,3.82
2012,Jan-Mar,Bilwon SND,PD,4.35
2013,Jan-Mar,Bilwon SND,PD,7.01
2014,Jan-Mar,Bilwon SND,PD,4.03
2015,Jan-Mar,Bilwon SND,PD,14.06
2016,Jan-Mar,Bilwon SND,PD,4.8
2017,Jan-Mar,Bilwon SND,PD,3.01
2018,Jan-Mar,Bilwon SND,PD,3.1
1889,Jan-Mar,Bilwon SND,FE,3.59
1890,Jan-Mar,Bilwon SND,FE,3.09
1891,Jan-Mar,Bilwon SND,FE,6.65
1892,Jan-Mar,Bilwon SND,FE,12.42
1893,Jan-Mar,Bilwon SND,FE,2.33
1894,Jan-Mar,Bilwon SND,FE,6.53
1895,Jan-Mar,Bilwon SND,FE,3.93
1896,Jan-Mar,Bilwon SND,FE,13.16
1897,Jan-Mar,Bilwon SND,FE,0.46
1898,Jan-Mar,Bilwon SND,FE,6.89
1899,Jan-Mar,Bilwon SND,FE,14.4
1900,Jan-Mar,Bilwon SND,FE,5.91
1901,Jan-Mar,Bilwon SND,FE,12.35
1902,Jan-Mar,Bilwon SND,FE,0.9
1903,Jan-Mar,Bilwon SND,FE,8.34
1904,Jan-Mar,Bilwon SND,FE,9.16
1905,Jan-Mar,Bilwon SND,FE,6.11
1906,Jan-Mar,Bilwon SND,FE,9.75
1907,Jan-Mar,Bilwon SND,FE,4.47
1908,Jan-Mar,Bilwon SND,FE,10.58
1909,Jan-Mar,Bilwon SND,FE,2.2
1910,Jan-Mar,Bilwon SND,FE,2.21
1911,Jan-Mar,Bilwon SND,FE,14.09
1912,Jan-Mar,Bilwon SND,FE,1.36
1913,Jan-Mar,Bilwon SND,FE,2.12
1914,Jan-Mar,Bilwon SND,FE,16.75
1915,Jan-Mar,Bilwon SND,FE,1.47
1916,Jan-Mar,Bilwon SND,FE,5.3
1917,Jan-Mar,Bilwon SND,FE,2.69
1918,Jan-Mar,Bilwon SND,FE,8.93
1919,Jan-Mar,Bilwon SND,FE,12.94
1920,Jan-Mar,Bilwon SND,FE,8.68
1921,Jan-Mar,Bilwon SND,FE,4.57
1922,Jan-Mar,Bilwon SND,FE,13.19
1923,Jan-Mar,Bilwon SND,FE,9.66
1924,Jan-Mar,Bilwon SND,FE,0.98
1925,Jan-Mar,Bilwon SND,FE,9.61
1926,Jan-Mar,Bilwon SND,FE,6
1927,Jan-Mar,Bilwon SND,FE,9.34
1928,Jan-Mar,Bilwon SND,FE,0.82
1929,Jan-Mar,Bilwon SND,FE,6.44
1930,Jan-Mar,Bilwon SND,FE,14.39
1931,Jan-Mar,Bilwon SND,FE,8.06
1932,Jan-Mar,Bilwon SND,FE,7.34
1933,Jan-Mar,Bilwon SND,FE,0.9
1934,Jan-Mar,Bilwon SND,FE,11.45
1935,Jan-Mar,Bilwon SND,FE,6.58
1936,Jan-Mar,Bilwon SND,FE,9.05
1937,Jan-Mar,Bilwon SND,FE,8.78
1938,Jan-Mar,Bilwon SND,FE,0.6
1939,Jan-Mar,Bilwon SND,FE,3.59
1940,Jan-Mar,Bilwon SND,FE,4.04
1941,Jan-Mar,Bilwon SND,FE,13.57
1942,Jan-Mar,Bilwon SND,FE,4.55
1943,Jan-Mar,Bilwon SND,FE,4.12
1944,Jan-Mar,Bilwon SND,FE,2.07
1945,Jan-Mar,Bilwon SND,FE,4.02
1946,Jan-Mar,Bilwon SND,FE,10.82
1947,Jan-Mar,Bilwon SND,FE,6.6
1948,Jan-Mar,Bilwon SND,FE,3.84
1949,Jan-Mar,Bilwon SND,FE,3.4
1950,Jan-Mar,Bilwon SND,FE,7.11
1951,Jan-Mar,Bilwon SND,FE,10.57
1952,Jan-Mar,Bilwon SND,FE,0.88
1953,Jan-Mar,Bilwon SND,FE,5.84
1954,Jan-Mar,Bilwon SND,FE,5.44
1955,Jan-Mar,Bilwon SND,FE,0.09
1956,Jan-Mar,Bilwon SND,FE,1.88
1957,Jan-Mar,Bilwon SND,FE,4.61
1958,Jan-Mar,Bilwon SND,FE,3.01
1959,Jan-Mar,Bilwon SND,FE,5.9
1960,Jan-Mar,Bilwon SND,FE,13.69
1961,Jan-Mar,Bilwon SND,FE,3.59
1962,Jan-Mar,Bilwon SND,FE,3.42
1963,Jan-Mar,Bilwon SND,FE,3.1
1964,Jan-Mar,Bilwon SND,FE,7.98
1965,Jan-Mar,Bilwon SND,FE,12.97
1966,Jan-Mar,Bilwon SND,FE,6.81
1967,Jan-Mar,Bilwon SND,FE,3.72
1968,Jan-Mar,Bilwon SND,FE,9.07
1969,Jan-Mar,Bilwon SND,FE,3.12
1970,Jan-Mar,Bilwon SND,FE,3.14
1971,Jan-Mar,Bilwon SND,FE,3.58
1972,Jan-Mar,Bilwon SND,FE,10.04
1973,Jan-Mar,Bilwon SND,FE,1.8
1974,Jan-Mar,Bilwon SND,FE,3.35
1975,Jan-Mar,Bilwon SND,FE,1
1976,Jan-Mar,Bilwon SND,FE,3.63
1977,Jan-Mar,Bilwon SND,FE,12.99
1978,Jan-Mar,Bilwon SND,FE,4.3
1979,Jan-Mar,Bilwon SND,FE,5.85
1980,Jan-Mar,Bilwon SND,FE,1.39
1981,Jan-Mar,Bilwon SND,FE,10.75
1982,Jan-Mar,Bilwon SND,FE,11.87
1983,Jan-Mar,Bilwon SND,FE,4.51
1984,Jan-Mar,Bilwon SND,FE,1.18
1985,Jan-Mar,Bilwon SND,FE,4.51
1986,Jan-Mar,Bilwon SND,FE,6.76
1987,Jan-Mar,Bilwon SND,FE,7.04
1988,Jan-Mar,Bilwon SND,FE,3.01
1989,Jan-Mar,Bilwon SND,FE,11.95
1990,Jan-Mar,Bilwon SND,FE,1.99
1991,Jan-Mar,Bilwon SND,FE,10.99
1992,Jan-Mar,Bilwon SND,FE,12.25
1993,Jan-Mar,Bilwon SND,FE,3.84
1994,Jan-Mar,Bilwon SND,FE,0.27
1995,Jan-Mar,Bilwon SND,FE,7.89
1996,Jan-Mar,Bilwon SND,FE,3.9
1997,Jan-Mar,Bilwon SND,FE,5.41
1998,Jan-Mar,Bilwon SND,FE,0.75
1999,Jan-Mar,Bilwon SND,FE,4.98
2000,Jan-Mar,Bilwon SND,FE,4.61
2001,Jan-Mar,Bilwon SND,FE,15.47
2002,Jan-Mar,Bilwon SND,FE,9.11
2003,Jan-Mar,Bilwon SND,FE,1.73
2004,Jan-Mar,Bilwon SND,FE,5.57
2005,Jan-Mar,Bilwon SND,FE,6.72
2006,Jan-Mar,Bilwon SND,FE,7.69
2007,Jan-Mar,Bilwon SND,FE,2.33
2008,Jan-Mar,Bilwon SND,FE,2.21
2009,Jan-Mar,Bilwon SND,FE,5.92
2010,Jan-Mar,Bilwon SND,FE,1.91
2011,Jan-Mar,Bilwon SND,FE,8.19
2012,Jan-Mar,Bilwon SND,FE,7.81
2013,Jan-Mar,Bilwon SND,FE,9.13
2014,Jan-Mar,Bilwon SND,FE,4.7
2015,Jan-Mar,Bilwon SND,FE,13.71
2016,Jan-Mar,Bilwon SND,FE,6.91
2017,Jan-Mar,Bilwon SND,FE,3.97
2018,Jan-Mar,Bilwon SND,FE,6.71
1889,Apr-Jun,Picnic Crossing,PD,18.42
1890,Apr-Jun,Picnic Crossing,PD,16.32
1891,Apr-Jun,Picnic Crossing,PD,18.14
1892,Apr-Jun,Picnic Crossing,PD,12.17
1893,Apr-Jun,Picnic Crossing,PD,11.14
1894,Apr-Jun,Picnic Crossing,PD,16.27
1895,Apr-Jun,Picnic Crossing,PD,17.42
1896,Apr-Jun,Picnic Crossing,PD,14.71
1897,Apr-Jun,Picnic Crossing,PD,17.64
1898,Apr-Jun,Picnic Crossing,PD,18.73
1899,Apr-Jun,Picnic Crossing,PD,12.78
1900,Apr-Jun,Picnic Crossing,PD,16.18
1901,Apr-Jun,Picnic Crossing,PD,10.35
1902,Apr-Jun,Picnic Crossing,PD,12.89
1903,Apr-Jun,Picnic Crossing,PD,15.95
1904,Apr-Jun,Picnic Crossing,PD,11.46
1905,Apr-Jun,Picnic Crossing,PD,17.26
1906,Apr-Jun,Picnic Crossing,PD,16.75
1907,Apr-Jun,Picnic Crossing,PD,17.78
1908,Apr-Jun,Picnic Crossing,PD,13.75
1909,Apr-Jun,Picnic Crossing,PD,14.18
1910,Apr-Jun,Picnic Crossing,PD,15.34
1911,Apr-Jun,Picnic Crossing,PD,12.28
1912,Apr-Jun,Picnic Crossing,PD,18.89
1913,Apr-Jun,Picnic Crossing,PD,18.4
1914,Apr-Jun,Picnic Crossing,PD,7.85
1915,Apr-Jun,Picnic Crossing,PD,8.91
1916,Apr-Jun,Picnic Crossing,PD,13.5
1917,Apr-Jun,Picnic Crossing,PD,15.35
1918,Apr-Jun,Picnic Crossing,PD,11.19
1919,Apr-Jun,Picnic Crossing,PD,10.63
1920,Apr-Jun,Picnic Crossing,PD,10.31
1921,Apr-Jun,Picnic Crossing,PD,18.22
1922,Apr-Jun,Picnic Crossing,PD,12.2
1923,Apr-Jun,Picnic Crossing,PD,15.1
1924,Apr-Jun,Picnic Crossing,PD,13.54
1925,Apr-Jun,Picnic Crossing,PD,15.59
1926,Apr-Jun,Picnic Crossing,PD,11.89
1927,Apr-Jun,Picnic Crossing,PD,16.64
1928,Apr-Jun,Picnic Crossing,PD,18.52
1929,Apr-Jun,Picnic Crossing,PD,15.79
1930,Apr-Jun,Picnic Crossing,PD,10.68
1931,Apr-Jun,Picnic Crossing,PD,15.93
1932,Apr-Jun,Picnic Crossing,PD,15.09
1933,Apr-Jun,Picnic Crossing,PD,13.97
1934,Apr-Jun,Picnic Crossing,PD,13.19
1935,Apr-Jun,Picnic Crossing,PD,16.58
1936,Apr-Jun,Picnic Crossing,PD,11.56
1937,Apr-Jun,Picnic Crossing,PD,12.37
1938,Apr-Jun,Picnic Crossing,PD,13.77
1939,Apr-Jun,Picnic Crossing,PD,15.56
1940,Apr-Jun,Picnic Crossing,PD,14.26
1941,Apr-Jun,Picnic Crossing,PD,14.26
1942,Apr-Jun,Picnic Crossing,PD,17.98
1943,Apr-Jun,Picnic Crossing,PD,13.1
1944,Apr-Jun,Picnic Crossing,PD,14.51
1945,Apr-Jun,Picnic Crossing,PD,18.48
1946,Apr-Jun,Picnic Crossing,PD,11.91
1947,Apr-Jun,Picnic Crossing,PD,14.78
1948,Apr-Jun,Picnic Crossing,PD,14.47
1949,Apr-Jun,Picnic Crossing,PD,15.62
1950,Apr-Jun,Picnic Crossing,PD,20.26
1951,Apr-Jun,Picnic Crossing,PD,11.11
1952,Apr-Jun,Picnic Crossing,PD,14.49
1953,Apr-Jun,Picnic Crossing,PD,13.39
1954,Apr-Jun,Picnic Crossing,PD,15.84
1955,Apr-Jun,Picnic Crossing,PD,14.97
1956,Apr-Jun,Picnic Crossing,PD,16.07
1957,Apr-Jun,Picnic Crossing,PD,14.91
1958,Apr-Jun,Picnic Crossing,PD,16.87
1959,Apr-Jun,Picnic Crossing,PD,14.85
1960,Apr-Jun,Picnic Crossing,PD,10.27
1961,Apr-Jun,Picnic Crossing,PD,16.05
1962,Apr-Jun,Picnic Crossing,PD,14.7
1963,Apr-Jun,Picnic Crossing,PD,15.47
1964,Apr-Jun,Picnic Crossing,PD,16.31
1965,Apr-Jun,Picnic Crossing,PD,8.84
1966,Apr-Jun,Picnic Crossing,PD,20.82
1967,Apr-Jun,Picnic Crossing,PD,16.11
1968,Apr-Jun,Picnic Crossing,PD,11.35
1969,Apr-Jun,Picnic Crossing,PD,11.93
1970,Apr-Jun,Picnic Crossing,PD,13.95
1971,Apr-Jun,Picnic Crossing,PD,16.58
1972,Apr-Jun,Picnic Crossing,PD,15.87
1973,Apr-Jun,Picnic Crossing,PD,15.69
1974,Apr-Jun,Picnic Crossing,PD,16.21
1975,Apr-Jun,Picnic Crossing,PD,16.22
1976,Apr-Jun,Picnic Crossing,PD,11.76
1977,Apr-Jun,Picnic Crossing,PD,10.46
1978,Apr-Jun,Picnic Crossing,PD,18.59
1979,Apr-Jun,Picnic Crossing,PD,12.88
1980,Apr-Jun,Picnic Crossing,PD,17.54
1981,Apr-Jun,Picnic Crossing,PD,12.59
1982,Apr-Jun,Picnic Crossing,PD,10.5
1983,Apr-Jun,Picnic Crossing,PD,12.04
1984,Apr-Jun,Picnic Crossing,PD,15.01
1985,Apr-Jun,Picnic Crossing,PD,15.6
1986,Apr-Jun,Picnic Crossing,PD,11.43
1987,Apr-Jun,Picnic Crossing,PD,10.19
1988,Apr-Jun,Picnic Crossing,PD,12.27
1989,Apr-Jun,Picnic Crossing,PD,12.38
1990,Apr-Jun,Picnic Crossing,PD,18.31
1991,Apr-Jun,Picnic Crossing,PD,7.63
1992,Apr-Jun,Picnic Crossing,PD,7.91
1993,Apr-Jun,Picnic Crossing,PD,12.42
1994,Apr-Jun,Picnic Crossing,PD,12.74
1995,Apr-Jun,Picnic Crossing,PD,15.41
1996,Apr-Jun,Picnic Crossing,PD,14.15
1997,Apr-Jun,Picnic Crossing,PD,14.18
1998,Apr-Jun,Picnic Crossing,PD,18.17
1999,Apr-Jun,Picnic Crossing,PD,17.54
2000,Apr-Jun,Picnic Crossing,PD,19.06
2001,Apr-Jun,Picnic Crossing,PD,11.34
2002,Apr-Jun,Picnic Crossing,PD,10.58
2003,Apr-Jun,Picnic Crossing,PD,16.49
2004,Apr-Jun,Picnic Crossing,PD,17.45
2005,Apr-Jun,Picnic Crossing,PD,12.64
2006,Apr-Jun,Picnic Crossing,PD,15.67
2007,Apr-Jun,Picnic Crossing,PD,18.54
2008,Apr-Jun,Picnic Crossing,PD,16.85
2009,Apr-Jun,Picnic Crossing,PD,17.66
2010,Apr-Jun,Picnic Crossing,PD,18.45
2011,Apr-Jun,Picnic Crossing,PD,16.01
2012,Apr-Jun,Picnic Crossing,PD,15.29
2013,Apr-Jun,Picnic Crossing,PD,12.59
2014,Apr-Jun,Picnic Crossing,PD,16.06
2015,Apr-Jun,Picnic Crossing,PD,9.71
2016,Apr-Jun,Picnic Crossing,PD,14.89
2017,Apr-Jun,Picnic Crossing,PD,16.19
2018,Apr-Jun,Picnic Crossing,PD,16.17
1889,Apr-Jun,Picnic Crossing,FE,18.22
1890,Apr-Jun,Picnic Crossing,FE,16.33
1891,Apr-Jun,Picnic Crossing,FE,18.04
1892,Apr-Jun,Picnic Crossing,FE,11.54
1893,Apr-Jun,Picnic Crossing,FE,11.19
1894,Apr-Jun,Picnic Crossing,FE,16.12
1895,Apr-Jun,Picnic Crossing,FE,17.32
1896,Apr-Jun,Picnic Crossing,FE,14.36
1897,Apr-Jun,Picnic Crossing,FE,17.59
1898,Apr-Jun,Picnic Crossing,FE,18.64
1899,Apr-Jun,Picnic Crossing,FE,12.47
1900,Apr-Jun,Picnic Crossing,FE,15.88
1901,Apr-Jun,Picnic Crossing,FE,9.71
1902,Apr-Jun,Picnic Crossing,FE,12.94
1903,Apr-Jun,Picnic Crossing,FE,15.87
1904,Apr-Jun,Picnic Crossing,FE,11.02
1905,Apr-Jun,Picnic Crossing,FE,16.82
1906,Apr-Jun,Picnic Crossing,FE,16.43
1907,Apr-Jun,Picnic Crossing,FE,17.61
1908,Apr-Jun,Picnic Crossing,FE,13.43
1909,Apr-Jun,Picnic Crossing,FE,14.2
1910,Apr-Jun,Picnic Crossing,FE,15.39
1911,Apr-Jun,Picnic Crossing,FE,12
1912,Apr-Jun,Picnic Crossing,FE,18.94
1913,Apr-Jun,Picnic Crossing,FE,18.18
1914,Apr-Jun,Picnic Crossing,FE,7.11
1915,Apr-Jun,Picnic Crossing,FE,5.63
1916,Apr-Jun,Picnic Crossing,FE,13.06
1917,Apr-Jun,Picnic Crossing,FE,15.22
1918,Apr-Jun,Picnic Crossing,FE,10.93
1919,Apr-Jun,Picnic Crossing,FE,10.22
1920,Apr-Jun,Picnic Crossing,FE,10.04
1921,Apr-Jun,Picnic Crossing,FE,17.97
1922,Apr-Jun,Picnic Crossing,FE,11.86
1923,Apr-Jun,Picnic Crossing,FE,14.6
1924,Apr-Jun,Picnic Crossing,FE,13.41
1925,Apr-Jun,Picnic Crossing,FE,15.39
1926,Apr-Jun,Picnic Crossing,FE,11.81
1927,Apr-Jun,Picnic Crossing,FE,16.34
1928,Apr-Jun,Picnic Crossing,FE,18.37
1929,Apr-Jun,Picnic Crossing,FE,15.5
1930,Apr-Jun,Picnic Crossing,FE,10.19
1931,Apr-Jun,Picnic Crossing,FE,15.79
1932,Apr-Jun,Picnic Crossing,FE,14.88
1933,Apr-Jun,Picnic Crossing,FE,14.13
1934,Apr-Jun,Picnic Crossing,FE,12.8
1935,Apr-Jun,Picnic Crossing,FE,16.35
1936,Apr-Jun,Picnic Crossing,FE,10.94
1937,Apr-Jun,Picnic Crossing,FE,11.69
1938,Apr-Jun,Picnic Crossing,FE,13.55
1939,Apr-Jun,Picnic Crossing,FE,15.76
1940,Apr-Jun,Picnic Crossing,FE,14.34
1941,Apr-Jun,Picnic Crossing,FE,13.81
1942,Apr-Jun,Picnic Crossing,FE,17.69
1943,Apr-Jun,Picnic Crossing,FE,12.62
1944,Apr-Jun,Picnic Crossing,FE,14.52
1945,Apr-Jun,Picnic Crossing,FE,18.13
1946,Apr-Jun,Picnic Crossing,FE,11.61
1947,Apr-Jun,Picnic Crossing,FE,14.67
1948,Apr-Jun,Picnic Crossing,FE,14.53
1949,Apr-Jun,Picnic Crossing,FE,15.61
1950,Apr-Jun,Picnic Crossing,FE,20.09
1951,Apr-Jun,Picnic Crossing,FE,10.13
1952,Apr-Jun,Picnic Crossing,FE,14.2
1953,Apr-Jun,Picnic Crossing,FE,13.19
1954,Apr-Jun,Picnic Crossing,FE,15.85
1955,Apr-Jun,Picnic Crossing,FE,14.9
1956,Apr-Jun,Picnic Crossing,FE,15.95
1957,Apr-Jun,Picnic Crossing,FE,15.07
1958,Apr-Jun,Picnic Crossing,FE,16.7
1959,Apr-Jun,Picnic Crossing,FE,14.44
1960,Apr-Jun,Picnic Crossing,FE,8.5
1961,Apr-Jun,Picnic Crossing,FE,15.81
1962,Apr-Jun,Picnic Crossing,FE,14.61
1963,Apr-Jun,Picnic Crossing,FE,15.14
1964,Apr-Jun,Picnic Crossing,FE,16.19
1965,Apr-Jun,Picnic Crossing,FE,8.03
1966,Apr-Jun,Picnic Crossing,FE,20.97
1967,Apr-Jun,Picnic Crossing,FE,15.5
1968,Apr-Jun,Picnic Crossing,FE,10.77
1969,Apr-Jun,Picnic Crossing,FE,11.7
1970,Apr-Jun,Picnic Crossing,FE,13.92
1971,Apr-Jun,Picnic Crossing,FE,16.82
1972,Apr-Jun,Picnic Crossing,FE,15.43
1973,Apr-Jun,Picnic Crossing,FE,15.73
1974,Apr-Jun,Picnic Crossing,FE,16.07
1975,Apr-Jun,Picnic Crossing,FE,16.09
1976,Apr-Jun,Picnic Crossing,FE,11.61
1977,Apr-Jun,Picnic Crossing,FE,9.71
1978,Apr-Jun,Picnic Crossing,FE,18.4
1979,Apr-Jun,Picnic Crossing,FE,12.53
1980,Apr-Jun,Picnic Crossing,FE,17.42
1981,Apr-Jun,Picnic Crossing,FE,12.37
1982,Apr-Jun,Picnic Crossing,FE,9.86
1983,Apr-Jun,Picnic Crossing,FE,11.7
1984,Apr-Jun,Picnic Crossing,FE,14.77
1985,Apr-Jun,Picnic Crossing,FE,15.33
1986,Apr-Jun,Picnic Crossing,FE,10.7
1987,Apr-Jun,Picnic Crossing,FE,8.86
1988,Apr-Jun,Picnic Crossing,FE,12.19
1989,Apr-Jun,Picnic Crossing,FE,12.27
1990,Apr-Jun,Picnic Crossing,FE,18.12
1991,Apr-Jun,Picnic Crossing,FE,6.31
1992,Apr-Jun,Picnic Crossing,FE,1.08
1993,Apr-Jun,Picnic Crossing,FE,11.88
1994,Apr-Jun,Picnic Crossing,FE,12.25
1995,Apr-Jun,Picnic Crossing,FE,15.14
1996,Apr-Jun,Picnic Crossing,FE,14
1997,Apr-Jun,Picnic Crossing,FE,13.44
1998,Apr-Jun,Picnic Crossing,FE,18.15
1999,Apr-Jun,Picnic Crossing,FE,17.49
2000,Apr-Jun,Picnic Crossing,FE,18.94
2001,Apr-Jun,Picnic Crossing,FE,10.98
2002,Apr-Jun,Picnic Crossing,FE,5.53
2003,Apr-Jun,Picnic Crossing,FE,16.38
2004,Apr-Jun,Picnic Crossing,FE,17.1
2005,Apr-Jun,Picnic Crossing,FE,12.68
2006,Apr-Jun,Picnic Crossing,FE,15.35
2007,Apr-Jun,Picnic Crossing,FE,18.15
2008,Apr-Jun,Picnic Crossing,FE,16.71
2009,Apr-Jun,Picnic Crossing,FE,17.53
2010,Apr-Jun,Picnic Crossing,FE,18.26
2011,Apr-Jun,Picnic Crossing,FE,15.85
2012,Apr-Jun,Picnic Crossing,FE,14.96
2013,Apr-Jun,Picnic Crossing,FE,12.49
2014,Apr-Jun,Picnic Crossing,FE,15.72
2015,Apr-Jun,Picnic Crossing,FE,9.01
2016,Apr-Jun,Picnic Crossing,FE,14.54
2017,Apr-Jun,Picnic Crossing,FE,15.92
2018,Apr-Jun,Picnic Crossing,FE,16.15
1889,Apr-Jun,Tinaroo Falls,PD,24.85
1890,Apr-Jun,Tinaroo Falls,PD,23.81
1891,Apr-Jun,Tinaroo Falls,PD,21.76
1892,Apr-Jun,Tinaroo Falls,PD,13
1893,Apr-Jun,Tinaroo Falls,PD,19.3
1894,Apr-Jun,Tinaroo Falls,PD,22.64
1895,Apr-Jun,Tinaroo Falls,PD,24.3
1896,Apr-Jun,Tinaroo Falls,PD,15.52
1897,Apr-Jun,Tinaroo Falls,PD,25.05
1898,Apr-Jun,Tinaroo Falls,PD,25.63
1899,Apr-Jun,Tinaroo Falls,PD,13.45
1900,Apr-Jun,Tinaroo Falls,PD,22.87
1901,Apr-Jun,Tinaroo Falls,PD,12.16
1902,Apr-Jun,Tinaroo Falls,PD,20.38
1903,Apr-Jun,Tinaroo Falls,PD,23.29
1904,Apr-Jun,Tinaroo Falls,PD,12.89
1905,Apr-Jun,Tinaroo Falls,PD,19.25
1906,Apr-Jun,Tinaroo Falls,PD,17.78
1907,Apr-Jun,Tinaroo Falls,PD,22.94
1908,Apr-Jun,Tinaroo Falls,PD,14.41
1909,Apr-Jun,Tinaroo Falls,PD,23.93
1910,Apr-Jun,Tinaroo Falls,PD,23.03
1911,Apr-Jun,Tinaroo Falls,PD,13.21
1912,Apr-Jun,Tinaroo Falls,PD,27.99
1913,Apr-Jun,Tinaroo Falls,PD,23.77
1914,Apr-Jun,Tinaroo Falls,PD,12.61
