Year,Season,Scenario,Site,Habitat
1934,Apr-Jun,PD,Mirani,7.71
1935,Apr-Jun,PD,Mirani,18.56
1936,Apr-Jun,PD,Mirani,14.2
1937,Apr-Jun,PD,Mirani,9.15
1938,Apr-Jun,PD,Mirani,15.62
1939,Apr-Jun,PD,Mirani,15.97
1940,Apr-Jun,PD,Mirani,19.44
1941,Apr-Jun,PD,Mirani,15.41
1942,Apr-Jun,PD,Mirani,16.1
1943,Apr-Jun,PD,Mirani,18.87
1944,Apr-Jun,PD,Mirani,10.91
1945,Apr-Jun,PD,Mirani,19.07
1946,Apr-Jun,PD,Mirani,14.6
1947,Apr-Jun,PD,Mirani,7.6
1948,Apr-Jun,PD,Mirani,20.47
1949,Apr-Jun,PD,Mirani,23.45
1950,Apr-Jun,PD,Mirani,15.68
1951,Apr-Jun,PD,Mirani,11.56
1952,Apr-Jun,PD,Mirani,15.41
1953,Apr-Jun,PD,Mirani,21.12
1954,Apr-Jun,PD,Mirani,26.71
1955,Apr-Jun,PD,Mirani,19.19
1956,Apr-Jun,PD,Mirani,11.81
1957,Apr-Jun,PD,Mirani,19.9
1958,Apr-Jun,PD,Mirani,16.19
1959,Apr-Jun,PD,Mirani,16.87
1960,Apr-Jun,PD,Mirani,12.21
1961,Apr-Jun,PD,Mirani,15.32
1962,Apr-Jun,PD,Mirani,20.51
1963,Apr-Jun,PD,Mirani,11.79
1964,Apr-Jun,PD,Mirani,9.51
1965,Apr-Jun,PD,Mirani,6.92
1966,Apr-Jun,PD,Mirani,10.3
1967,Apr-Jun,PD,Mirani,15.8
1968,Apr-Jun,PD,Mirani,11.44
1969,Apr-Jun,PD,Mirani,15.04
1970,Apr-Jun,PD,Mirani,16.52
1971,Apr-Jun,PD,Mirani,17.25
1972,Apr-Jun,PD,Mirani,11.5
1973,Apr-Jun,PD,Mirani,23.11
1974,Apr-Jun,PD,Mirani,15.44
1975,Apr-Jun,PD,Mirani,27.33
1976,Apr-Jun,PD,Mirani,20.38
1977,Apr-Jun,PD,Mirani,13.2
1978,Apr-Jun,PD,Mirani,21.37
1979,Apr-Jun,PD,Mirani,14.85
1980,Apr-Jun,PD,Mirani,13.73
1981,Apr-Jun,PD,Mirani,10.51
1982,Apr-Jun,PD,Mirani,5.21
1983,Apr-Jun,PD,Mirani,6.33
1984,Apr-Jun,PD,Mirani,15.81
1985,Apr-Jun,PD,Mirani,10.36
1986,Apr-Jun,PD,Mirani,6.29
1987,Apr-Jun,PD,Mirani,14.7
1988,Apr-Jun,PD,Mirani,27.81
1989,Apr-Jun,PD,Mirani,8.05
1990,Apr-Jun,PD,Mirani,17.86
1991,Apr-Jun,PD,Mirani,1.1
1992,Apr-Jun,PD,Mirani,7.43
1993,Apr-Jun,PD,Mirani,14.01
1994,Apr-Jun,PD,Mirani,9.55
1995,Apr-Jun,PD,Mirani,9.07
1996,Apr-Jun,PD,Mirani,15.39
1997,Apr-Jun,PD,Mirani,10.84
1998,Apr-Jun,PD,Mirani,17.84
1999,Apr-Jun,PD,Mirani,17.78
2000,Apr-Jun,PD,Mirani,15.83
2001,Apr-Jun,PD,Mirani,5.52
2002,Apr-Jun,PD,Mirani,6.38
2003,Apr-Jun,PD,Mirani,5.38
2004,Apr-Jun,PD,Mirani,8.99
2005,Apr-Jun,PD,Mirani,10.91
2006,Apr-Jun,PD,Mirani,14.79
2007,Apr-Jun,PD,Mirani,15.79
2008,Apr-Jun,PD,Mirani,16.5
2009,Apr-Jun,PD,Mirani,26.08
2010,Apr-Jun,PD,Mirani,26.16
2011,Apr-Jun,PD,Mirani,19.07
2012,Apr-Jun,PD,Mirani,23.19
2013,Apr-Jun,PD,Mirani,13.71
2014,Apr-Jun,PD,Mirani,9.02
2015,Apr-Jun,PD,Mirani,10.61
2016,Apr-Jun,PD,Mirani,13.89
2017,Apr-Jun,PD,Mirani,13.67
2018,Apr-Jun,PD,Mirani,16.15
1889,Jul-Sep,PD,Mirani,8.84
1890,Jul-Sep,PD,Mirani,12.05
1891,Jul-Sep,PD,Mirani,16.84
1892,Jul-Sep,PD,Mirani,3.53
1893,Jul-Sep,PD,Mirani,9.23
1894,Jul-Sep,PD,Mirani,17.17
1895,Jul-Sep,PD,Mirani,4.24
1896,Jul-Sep,PD,Mirani,7.43
1897,Jul-Sep,PD,Mirani,1.44
1898,Jul-Sep,PD,Mirani,9.43
1899,Jul-Sep,PD,Mirani,8.06
1900,Jul-Sep,PD,Mirani,3.1
1901,Jul-Sep,PD,Mirani,3.52
1902,Jul-Sep,PD,Mirani,0
1903,Jul-Sep,PD,Mirani,7.8
1904,Jul-Sep,PD,Mirani,2.31
1905,Jul-Sep,PD,Mirani,2.5
1906,Jul-Sep,PD,Mirani,12.83
1907,Jul-Sep,PD,Mirani,7.67
1908,Jul-Sep,PD,Mirani,8.78
1909,Jul-Sep,PD,Mirani,2.13
1910,Jul-Sep,PD,Mirani,10.37
1911,Jul-Sep,PD,Mirani,7.53
1912,Jul-Sep,PD,Mirani,14.31
1913,Jul-Sep,PD,Mirani,13.92
1914,Jul-Sep,PD,Mirani,13.71
1915,Jul-Sep,PD,Mirani,0
1916,Jul-Sep,PD,Mirani,7.11
1917,Jul-Sep,PD,Mirani,11.82
1918,Jul-Sep,PD,Mirani,8.04
1919,Jul-Sep,PD,Mirani,11.24
1920,Jul-Sep,PD,Mirani,11.77
1921,Jul-Sep,PD,Mirani,10.81
1922,Jul-Sep,PD,Mirani,7.65
1923,Jul-Sep,PD,Mirani,4.03
1924,Jul-Sep,PD,Mirani,13.82
1925,Jul-Sep,PD,Mirani,11.08
1926,Jul-Sep,PD,Mirani,2.61
1927,Jul-Sep,PD,Mirani,7.99
1928,Jul-Sep,PD,Mirani,10.68
1929,Jul-Sep,PD,Mirani,9.96
1930,Jul-Sep,PD,Mirani,15.75
1931,Jul-Sep,PD,Mirani,4.49
1932,Jul-Sep,PD,Mirani,5.9
1933,Jul-Sep,PD,Mirani,10.47
1934,Jul-Sep,PD,Mirani,13.19
1935,Jul-Sep,PD,Mirani,2.04
1936,Jul-Sep,PD,Mirani,15.9
1937,Jul-Sep,PD,Mirani,9.52
1938,Jul-Sep,PD,Mirani,9.26
1939,Jul-Sep,PD,Mirani,10.84
1940,Jul-Sep,PD,Mirani,12.24
1941,Jul-Sep,PD,Mirani,15.66
1942,Jul-Sep,PD,Mirani,15.5
1943,Jul-Sep,PD,Mirani,12.46
1944,Jul-Sep,PD,Mirani,12.16
1945,Jul-Sep,PD,Mirani,11.71
1946,Jul-Sep,PD,Mirani,5.24
1947,Jul-Sep,PD,Mirani,8.66
1948,Jul-Sep,PD,Mirani,5.93
1949,Jul-Sep,PD,Mirani,7.64
1950,Jul-Sep,PD,Mirani,26.62
1951,Jul-Sep,PD,Mirani,5.31
1952,Jul-Sep,PD,Mirani,7.27
1953,Jul-Sep,PD,Mirani,3.34
1954,Jul-Sep,PD,Mirani,11.8
1955,Jul-Sep,PD,Mirani,16.46
1956,Jul-Sep,PD,Mirani,15.41
1957,Jul-Sep,PD,Mirani,6.65
1958,Jul-Sep,PD,Mirani,14.01
1959,Jul-Sep,PD,Mirani,6.88
1960,Jul-Sep,PD,Mirani,5
1961,Jul-Sep,PD,Mirani,5.88
1962,Jul-Sep,PD,Mirani,4.1
1963,Jul-Sep,PD,Mirani,13.49
1964,Jul-Sep,PD,Mirani,9.07
1965,Jul-Sep,PD,Mirani,2.51
1966,Jul-Sep,PD,Mirani,3.12
1967,Jul-Sep,PD,Mirani,13.18
1968,Jul-Sep,PD,Mirani,7.27
1969,Jul-Sep,PD,Mirani,8.05
1970,Jul-Sep,PD,Mirani,5.19
1971,Jul-Sep,PD,Mirani,8.65
1972,Jul-Sep,PD,Mirani,8.9
1973,Jul-Sep,PD,Mirani,8.92
1974,Jul-Sep,PD,Mirani,14.02
1975,Jul-Sep,PD,Mirani,11.79
1976,Jul-Sep,PD,Mirani,11.89
1977,Jul-Sep,PD,Mirani,15.22
1978,Jul-Sep,PD,Mirani,10.17
1979,Jul-Sep,PD,Mirani,11.71
1980,Jul-Sep,PD,Mirani,11.87
1981,Jul-Sep,PD,Mirani,11.74
1982,Jul-Sep,PD,Mirani,3.37
1983,Jul-Sep,PD,Mirani,10.49
1984,Jul-Sep,PD,Mirani,5.31
1985,Jul-Sep,PD,Mirani,12.72
1986,Jul-Sep,PD,Mirani,9.21
1987,Jul-Sep,PD,Mirani,9.55
1988,Jul-Sep,PD,Mirani,12.18
1989,Jul-Sep,PD,Mirani,17.76
1990,Jul-Sep,PD,Mirani,15.84
1991,Jul-Sep,PD,Mirani,8.71
1992,Jul-Sep,PD,Mirani,0.78
1993,Jul-Sep,PD,Mirani,5.22
1994,Jul-Sep,PD,Mirani,5.76
1995,Jul-Sep,PD,Mirani,5.12
1996,Jul-Sep,PD,Mirani,5.35
1997,Jul-Sep,PD,Mirani,10.86
1998,Jul-Sep,PD,Mirani,11.41
1999,Jul-Sep,PD,Mirani,12.18
2000,Jul-Sep,PD,Mirani,15.24
2001,Jul-Sep,PD,Mirani,8.35
2002,Jul-Sep,PD,Mirani,5.83
2003,Jul-Sep,PD,Mirani,3.58
2004,Jul-Sep,PD,Mirani,1.2
2005,Jul-Sep,PD,Mirani,8.73
2006,Jul-Sep,PD,Mirani,10.38
2007,Jul-Sep,PD,Mirani,14.05
2008,Jul-Sep,PD,Mirani,9.79
2009,Jul-Sep,PD,Mirani,10.53
2010,Jul-Sep,PD,Mirani,13.03
2011,Jul-Sep,PD,Mirani,14.79
2012,Jul-Sep,PD,Mirani,17.5
2013,Jul-Sep,PD,Mirani,12.76
2014,Jul-Sep,PD,Mirani,10.98
2015,Jul-Sep,PD,Mirani,9.33
2016,Jul-Sep,PD,Mirani,10.94
2017,Jul-Sep,PD,Mirani,13.7
2018,Jul-Sep,PD,Mirani,5.79
1889,Oct-Dec,PD,Mirani,4.21
1890,Oct-Dec,PD,Mirani,12.09
1891,Oct-Dec,PD,Mirani,5.6
1892,Oct-Dec,PD,Mirani,1.35
1893,Oct-Dec,PD,Mirani,8.43
1894,Oct-Dec,PD,Mirani,7.99
1895,Oct-Dec,PD,Mirani,0.01
1896,Oct-Dec,PD,Mirani,0.4
1897,Oct-Dec,PD,Mirani,0
1898,Oct-Dec,PD,Mirani,0.81
1899,Oct-Dec,PD,Mirani,1.36
1900,Oct-Dec,PD,Mirani,0.17
1901,Oct-Dec,PD,Mirani,1.24
1902,Oct-Dec,PD,Mirani,0.82
1903,Oct-Dec,PD,Mirani,3.53
1904,Oct-Dec,PD,Mirani,0.22
1905,Oct-Dec,PD,Mirani,1.58
1906,Oct-Dec,PD,Mirani,5.22
1907,Oct-Dec,PD,Mirani,2.36
1908,Oct-Dec,PD,Mirani,0.72
1909,Oct-Dec,PD,Mirani,0.27
1910,Oct-Dec,PD,Mirani,1.98
1911,Oct-Dec,PD,Mirani,0.48
1912,Oct-Dec,PD,Mirani,3.29
1913,Oct-Dec,PD,Mirani,2.25
1914,Oct-Dec,PD,Mirani,3.79
1915,Oct-Dec,PD,Mirani,0.75
1916,Oct-Dec,PD,Mirani,8.14
1917,Oct-Dec,PD,Mirani,6.67
1918,Oct-Dec,PD,Mirani,1.39
1919,Oct-Dec,PD,Mirani,1.98
1920,Oct-Dec,PD,Mirani,9.97
1921,Oct-Dec,PD,Mirani,12.92
1922,Oct-Dec,PD,Mirani,1.42
1923,Oct-Dec,PD,Mirani,0.31
1924,Oct-Dec,PD,Mirani,8.98
1925,Oct-Dec,PD,Mirani,2.05
1926,Oct-Dec,PD,Mirani,3.4
1927,Oct-Dec,PD,Mirani,3.98
1928,Oct-Dec,PD,Mirani,2.65
1929,Oct-Dec,PD,Mirani,1.52
1930,Oct-Dec,PD,Mirani,5.79
1931,Oct-Dec,PD,Mirani,1.65
1932,Oct-Dec,PD,Mirani,1.92
1933,Oct-Dec,PD,Mirani,8.12
1934,Oct-Dec,PD,Mirani,5.69
1935,Oct-Dec,PD,Mirani,0.4
1936,Oct-Dec,PD,Mirani,3.61
1937,Oct-Dec,PD,Mirani,1.12
1938,Oct-Dec,PD,Mirani,1.8
1939,Oct-Dec,PD,Mirani,2.03
1940,Oct-Dec,PD,Mirani,7.77
1941,Oct-Dec,PD,Mirani,4.3
1942,Oct-Dec,PD,Mirani,7.82
1943,Oct-Dec,PD,Mirani,1.99
1944,Oct-Dec,PD,Mirani,1.67
1945,Oct-Dec,PD,Mirani,2.91
1946,Oct-Dec,PD,Mirani,1.64
1947,Oct-Dec,PD,Mirani,1.97
1948,Oct-Dec,PD,Mirani,0.88
1949,Oct-Dec,PD,Mirani,1.01
1950,Oct-Dec,PD,Mirani,16.32
1951,Oct-Dec,PD,Mirani,1.25
1952,Oct-Dec,PD,Mirani,0.71
1953,Oct-Dec,PD,Mirani,0.3
1954,Oct-Dec,PD,Mirani,4.97
1955,Oct-Dec,PD,Mirani,3.37
1956,Oct-Dec,PD,Mirani,7.47
1957,Oct-Dec,PD,Mirani,2.54
1958,Oct-Dec,PD,Mirani,3.35
1959,Oct-Dec,PD,Mirani,1.11
1960,Oct-Dec,PD,Mirani,0.63
1961,Oct-Dec,PD,Mirani,4.78
1962,Oct-Dec,PD,Mirani,1.09
1963,Oct-Dec,PD,Mirani,5.56
1964,Oct-Dec,PD,Mirani,2.77
1965,Oct-Dec,PD,Mirani,0.95
1966,Oct-Dec,PD,Mirani,1.98
1967,Oct-Dec,PD,Mirani,2.56
1968,Oct-Dec,PD,Mirani,1.05
1969,Oct-Dec,PD,Mirani,0.73
1970,Oct-Dec,PD,Mirani,2.5
1971,Oct-Dec,PD,Mirani,0.76
1972,Oct-Dec,PD,Mirani,0.38
1973,Oct-Dec,PD,Mirani,2.06
1974,Oct-Dec,PD,Mirani,3.73
1975,Oct-Dec,PD,Mirani,7.24
1976,Oct-Dec,PD,Mirani,2.41
1977,Oct-Dec,PD,Mirani,2.9
1978,Oct-Dec,PD,Mirani,2.79
1979,Oct-Dec,PD,Mirani,3.38
1980,Oct-Dec,PD,Mirani,1.56
1981,Oct-Dec,PD,Mirani,2.73
1982,Oct-Dec,PD,Mirani,1.04
1983,Oct-Dec,PD,Mirani,2.93
1984,Oct-Dec,PD,Mirani,2
1985,Oct-Dec,PD,Mirani,6.02
1986,Oct-Dec,PD,Mirani,1.98
1987,Oct-Dec,PD,Mirani,2.87
1988,Oct-Dec,PD,Mirani,8.67
1989,Oct-Dec,PD,Mirani,6.14
1990,Oct-Dec,PD,Mirani,1.81
1991,Oct-Dec,PD,Mirani,0.85
1992,Oct-Dec,PD,Mirani,0
1993,Oct-Dec,PD,Mirani,2.78
1994,Oct-Dec,PD,Mirani,0
1995,Oct-Dec,PD,Mirani,2.58
1996,Oct-Dec,PD,Mirani,0.82
1997,Oct-Dec,PD,Mirani,3.25
1998,Oct-Dec,PD,Mirani,15.14
1999,Oct-Dec,PD,Mirani,7.03
2000,Oct-Dec,PD,Mirani,4.24
2001,Oct-Dec,PD,Mirani,2.16
2002,Oct-Dec,PD,Mirani,1.18
2003,Oct-Dec,PD,Mirani,1.72
2004,Oct-Dec,PD,Mirani,0.99
2005,Oct-Dec,PD,Mirani,1.84
2006,Oct-Dec,PD,Mirani,3.28
2007,Oct-Dec,PD,Mirani,4.67
2008,Oct-Dec,PD,Mirani,3.72
2009,Oct-Dec,PD,Mirani,4.82
2010,Oct-Dec,PD,Mirani,7.56
2011,Oct-Dec,PD,Mirani,8.1
2012,Oct-Dec,PD,Mirani,8.05
2013,Oct-Dec,PD,Mirani,2.24
2014,Oct-Dec,PD,Mirani,2.78
2015,Oct-Dec,PD,Mirani,2.72
2016,Oct-Dec,PD,Mirani,7.49
2017,Oct-Dec,PD,Mirani,5.6
2018,Oct-Dec,PD,Mirani,2.94
1889,Jan-Mar,FE,Mirani,2.88
1890,Jan-Mar,FE,Mirani,6.3
1891,Jan-Mar,FE,Mirani,6.15
1892,Jan-Mar,FE,Mirani,6.38
1893,Jan-Mar,FE,Mirani,4.35
1894,Jan-Mar,FE,Mirani,7.43
1895,Jan-Mar,FE,Mirani,4.3
1896,Jan-Mar,FE,Mirani,3.53
1897,Jan-Mar,FE,Mirani,2.18
1898,Jan-Mar,FE,Mirani,2.43
1899,Jan-Mar,FE,Mirani,7.13
1900,Jan-Mar,FE,Mirani,10.96
1901,Jan-Mar,FE,Mirani,2.91
1902,Jan-Mar,FE,Mirani,1.76
1903,Jan-Mar,FE,Mirani,6.27
1904,Jan-Mar,FE,Mirani,4.84
1905,Jan-Mar,FE,Mirani,3.27
1906,Jan-Mar,FE,Mirani,1.96
1907,Jan-Mar,FE,Mirani,2.31
1908,Jan-Mar,FE,Mirani,3.74
1909,Jan-Mar,FE,Mirani,1.19
1910,Jan-Mar,FE,Mirani,4.2
1911,Jan-Mar,FE,Mirani,7.04
1912,Jan-Mar,FE,Mirani,10.79
1913,Jan-Mar,FE,Mirani,2.78
1914,Jan-Mar,FE,Mirani,8.97
1915,Jan-Mar,FE,Mirani,3.2
1916,Jan-Mar,FE,Mirani,4.34
1917,Jan-Mar,FE,Mirani,5.14
1918,Jan-Mar,FE,Mirani,3.99
1919,Jan-Mar,FE,Mirani,3.01
1920,Jan-Mar,FE,Mirani,1.59
1921,Jan-Mar,FE,Mirani,6.48
1922,Jan-Mar,FE,Mirani,4.76
1923,Jan-Mar,FE,Mirani,4.77
1924,Jan-Mar,FE,Mirani,2.75
1925,Jan-Mar,FE,Mirani,1.93
1926,Jan-Mar,FE,Mirani,6.75
1927,Jan-Mar,FE,Mirani,16.09
1928,Jan-Mar,FE,Mirani,5.42
1929,Jan-Mar,FE,Mirani,2.72
1930,Jan-Mar,FE,Mirani,3.92
1931,Jan-Mar,FE,Mirani,5.33
1932,Jan-Mar,FE,Mirani,4.45
1933,Jan-Mar,FE,Mirani,5.34
1934,Jan-Mar,FE,Mirani,1.8
1935,Jan-Mar,FE,Mirani,0.8
1936,Jan-Mar,FE,Mirani,1.13
1937,Jan-Mar,FE,Mirani,4.17
1938,Jan-Mar,FE,Mirani,3.66
1939,Jan-Mar,FE,Mirani,5.77
1940,Jan-Mar,FE,Mirani,7.82
1941,Jan-Mar,FE,Mirani,3.68
1942,Jan-Mar,FE,Mirani,9.82
1943,Jan-Mar,FE,Mirani,2.77
1944,Jan-Mar,FE,Mirani,2.91
1945,Jan-Mar,FE,Mirani,14.43
1946,Jan-Mar,FE,Mirani,4.86
1947,Jan-Mar,FE,Mirani,3.94
1948,Jan-Mar,FE,Mirani,9.24
1949,Jan-Mar,FE,Mirani,2.34
1950,Jan-Mar,FE,Mirani,19.53
1951,Jan-Mar,FE,Mirani,3.7
1952,Jan-Mar,FE,Mirani,7.65
1953,Jan-Mar,FE,Mirani,4.18
1954,Jan-Mar,FE,Mirani,4.37
1955,Jan-Mar,FE,Mirani,4.44
1956,Jan-Mar,FE,Mirani,8.54
1957,Jan-Mar,FE,Mirani,5.62
1958,Jan-Mar,FE,Mirani,6.6
1959,Jan-Mar,FE,Mirani,3.02
1960,Jan-Mar,FE,Mirani,5.39
1961,Jan-Mar,FE,Mirani,1.66
1962,Jan-Mar,FE,Mirani,10.55
1963,Jan-Mar,FE,Mirani,2.6
1964,Jan-Mar,FE,Mirani,2.06
1965,Jan-Mar,FE,Mirani,2.27
1966,Jan-Mar,FE,Mirani,2.9
1967,Jan-Mar,FE,Mirani,3.92
1968,Jan-Mar,FE,Mirani,3.03
1969,Jan-Mar,FE,Mirani,9.56
1970,Jan-Mar,FE,Mirani,1.01
1971,Jan-Mar,FE,Mirani,11.94
1972,Jan-Mar,FE,Mirani,4.18
1973,Jan-Mar,FE,Mirani,10.67
1974,Jan-Mar,FE,Mirani,9.69
1975,Jan-Mar,FE,Mirani,11.28
1976,Jan-Mar,FE,Mirani,6.12
1977,Jan-Mar,FE,Mirani,6.8
1978,Jan-Mar,FE,Mirani,3.36
1979,Jan-Mar,FE,Mirani,7.16
1980,Jan-Mar,FE,Mirani,3.42
1981,Jan-Mar,FE,Mirani,6.85
1982,Jan-Mar,FE,Mirani,1.77
1983,Jan-Mar,FE,Mirani,2.43
1984,Jan-Mar,FE,Mirani,3.03
1985,Jan-Mar,FE,Mirani,2.41
1986,Jan-Mar,FE,Mirani,5.17
1987,Jan-Mar,FE,Mirani,5.73
1988,Jan-Mar,FE,Mirani,1.41
1989,Jan-Mar,FE,Mirani,2.35
1990,Jan-Mar,FE,Mirani,8.55
1991,Jan-Mar,FE,Mirani,6.07
1992,Jan-Mar,FE,Mirani,2.59
1993,Jan-Mar,FE,Mirani,1.55
1994,Jan-Mar,FE,Mirani,1.47
1995,Jan-Mar,FE,Mirani,2.34
1996,Jan-Mar,FE,Mirani,1.05
1997,Jan-Mar,FE,Mirani,4.69
1998,Jan-Mar,FE,Mirani,11.35
1999,Jan-Mar,FE,Mirani,9.28
2000,Jan-Mar,FE,Mirani,11.55
2001,Jan-Mar,FE,Mirani,3.42
2002,Jan-Mar,FE,Mirani,5.23
2003,Jan-Mar,FE,Mirani,3.07
2004,Jan-Mar,FE,Mirani,3.02
2005,Jan-Mar,FE,Mirani,1.71
2006,Jan-Mar,FE,Mirani,3.79
2007,Jan-Mar,FE,Mirani,9.98
2008,Jan-Mar,FE,Mirani,6.05
2009,Jan-Mar,FE,Mirani,6.17
2010,Jan-Mar,FE,Mirani,12.87
2011,Jan-Mar,FE,Mirani,3.02
2012,Jan-Mar,FE,Mirani,2.06
2013,Jan-Mar,FE,Mirani,3.45
2014,Jan-Mar,FE,Mirani,2.15
2015,Jan-Mar,FE,Mirani,2.47
2016,Jan-Mar,FE,Mirani,9.51
2017,Jan-Mar,FE,Mirani,1.83
2018,Jan-Mar,FE,Mirani,4.92
1889,Apr-Jun,FE,Mirani,15.44
1890,Apr-Jun,FE,Mirani,9.44
1891,Apr-Jun,FE,Mirani,5.5
1892,Apr-Jun,FE,Mirani,7.89
1893,Apr-Jun,FE,Mirani,10.84
1894,Apr-Jun,FE,Mirani,12.58
1895,Apr-Jun,FE,Mirani,14.67
1896,Apr-Jun,FE,Mirani,6.94
1897,Apr-Jun,FE,Mirani,15.96
1898,Apr-Jun,FE,Mirani,10.38
1899,Apr-Jun,FE,Mirani,4.22
1900,Apr-Jun,FE,Mirani,10.73
1901,Apr-Jun,FE,Mirani,2.54
1902,Apr-Jun,FE,Mirani,5.74
1903,Apr-Jun,FE,Mirani,7.91
1904,Apr-Jun,FE,Mirani,6.41
1905,Apr-Jun,FE,Mirani,10.52
1906,Apr-Jun,FE,Mirani,6.88
1907,Apr-Jun,FE,Mirani,10.87
1908,Apr-Jun,FE,Mirani,10.09
1909,Apr-Jun,FE,Mirani,18.82
1910,Apr-Jun,FE,Mirani,9.89
1911,Apr-Jun,FE,Mirani,4.95
1912,Apr-Jun,FE,Mirani,15.89
1913,Apr-Jun,FE,Mirani,10.71
1914,Apr-Jun,FE,Mirani,8.89
1915,Apr-Jun,FE,Mirani,3.55
1916,Apr-Jun,FE,Mirani,8.13
1917,Apr-Jun,FE,Mirani,13.02
1918,Apr-Jun,FE,Mirani,5.71
1919,Apr-Jun,FE,Mirani,3.28
1920,Apr-Jun,FE,Mirani,10.99
1921,Apr-Jun,FE,Mirani,11.31
1922,Apr-Jun,FE,Mirani,8.02
1923,Apr-Jun,FE,Mirani,6.74
1924,Apr-Jun,FE,Mirani,11.76
1925,Apr-Jun,FE,Mirani,3.38
1926,Apr-Jun,FE,Mirani,10.43
1927,Apr-Jun,FE,Mirani,10.93
1928,Apr-Jun,FE,Mirani,8.83
1929,Apr-Jun,FE,Mirani,9.36
1930,Apr-Jun,FE,Mirani,9.76
1931,Apr-Jun,FE,Mirani,10.54
1932,Apr-Jun,FE,Mirani,9.64
1933,Apr-Jun,FE,Mirani,11.52
1934,Apr-Jun,FE,Mirani,5.78
1935,Apr-Jun,FE,Mirani,10.22
1936,Apr-Jun,FE,Mirani,10.99
1937,Apr-Jun,FE,Mirani,6.84
1938,Apr-Jun,FE,Mirani,9.9
1939,Apr-Jun,FE,Mirani,12.43
1940,Apr-Jun,FE,Mirani,14.44
1941,Apr-Jun,FE,Mirani,8.69
1942,Apr-Jun,FE,Mirani,15.61
1943,Apr-Jun,FE,Mirani,12.63
1944,Apr-Jun,FE,Mirani,4.91
1945,Apr-Jun,FE,Mirani,10.89
1946,Apr-Jun,FE,Mirani,9.98
1947,Apr-Jun,FE,Mirani,3.02
1948,Apr-Jun,FE,Mirani,14.19
1949,Apr-Jun,FE,Mirani,16.84
1950,Apr-Jun,FE,Mirani,13.15
1951,Apr-Jun,FE,Mirani,6.71
1952,Apr-Jun,FE,Mirani,10.25
1953,Apr-Jun,FE,Mirani,12.9
1954,Apr-Jun,FE,Mirani,18.32
1955,Apr-Jun,FE,Mirani,10.53
1956,Apr-Jun,FE,Mirani,8.53
1957,Apr-Jun,FE,Mirani,13.89
1958,Apr-Jun,FE,Mirani,6.96
1959,Apr-Jun,FE,Mirani,12.17
1960,Apr-Jun,FE,Mirani,4.84
1961,Apr-Jun,FE,Mirani,10.08
1962,Apr-Jun,FE,Mirani,13.4
1963,Apr-Jun,FE,Mirani,6.26
1964,Apr-Jun,FE,Mirani,6.45
1965,Apr-Jun,FE,Mirani,4.93
1966,Apr-Jun,FE,Mirani,7.6
1967,Apr-Jun,FE,Mirani,11.8
1968,Apr-Jun,FE,Mirani,7.59
1969,Apr-Jun,FE,Mirani,9.61
1970,Apr-Jun,FE,Mirani,9.69
1971,Apr-Jun,FE,Mirani,8.66
1972,Apr-Jun,FE,Mirani,6.22
1973,Apr-Jun,FE,Mirani,19.52
1974,Apr-Jun,FE,Mirani,9.53
1975,Apr-Jun,FE,Mirani,24.59
1976,Apr-Jun,FE,Mirani,14.62
1977,Apr-Jun,FE,Mirani,8.95
1978,Apr-Jun,FE,Mirani,17.48
1979,Apr-Jun,FE,Mirani,6.53
1980,Apr-Jun,FE,Mirani,9.33
1981,Apr-Jun,FE,Mirani,7.37
1982,Apr-Jun,FE,Mirani,1.24
1983,Apr-Jun,FE,Mirani,2.83
1984,Apr-Jun,FE,Mirani,9.12
1985,Apr-Jun,FE,Mirani,5.32
1986,Apr-Jun,FE,Mirani,5.91
1987,Apr-Jun,FE,Mirani,9.53
1988,Apr-Jun,FE,Mirani,20.17
1989,Apr-Jun,FE,Mirani,3.1
1990,Apr-Jun,FE,Mirani,11.37
1991,Apr-Jun,FE,Mirani,5.03
1992,Apr-Jun,FE,Mirani,5.23
1993,Apr-Jun,FE,Mirani,8.45
1994,Apr-Jun,FE,Mirani,7.5
1995,Apr-Jun,FE,Mirani,3.94
1996,Apr-Jun,FE,Mirani,8.8
1997,Apr-Jun,FE,Mirani,6.72
1998,Apr-Jun,FE,Mirani,11.77
1999,Apr-Jun,FE,Mirani,14.31
2000,Apr-Jun,FE,Mirani,12.13
2001,Apr-Jun,FE,Mirani,3.41
2002,Apr-Jun,FE,Mirani,3.75
2003,Apr-Jun,FE,Mirani,2.76
2004,Apr-Jun,FE,Mirani,7.05
2005,Apr-Jun,FE,Mirani,4.1
2006,Apr-Jun,FE,Mirani,9.54
2007,Apr-Jun,FE,Mirani,12.83
2008,Apr-Jun,FE,Mirani,10.12
2009,Apr-Jun,FE,Mirani,17.19
2010,Apr-Jun,FE,Mirani,21
2011,Apr-Jun,FE,Mirani,16.7
2012,Apr-Jun,FE,Mirani,20.36
2013,Apr-Jun,FE,Mirani,6.67
2014,Apr-Jun,FE,Mirani,6.04
2015,Apr-Jun,FE,Mirani,4.03
2016,Apr-Jun,FE,Mirani,7.07
2017,Apr-Jun,FE,Mirani,9.74
2018,Apr-Jun,FE,Mirani,13.7
1889,Jul-Sep,FE,Mirani,4.65
1890,Jul-Sep,FE,Mirani,8.18
1891,Jul-Sep,FE,Mirani,13.31
